slug;school_id;korpus_id;walk_min;walk_m
balans;osm-499-tsentr-obrazovaniya-lichnost;osm-499-tsentr-obrazovaniya-lichnost-1;25;1875
balans;shkola-2090-im-l-h-papernika;shkola-2090-im-l-h-papernika-3;27;2015
balans;osm-200-shkola-468;osm-200-shkola-468-1;27;2023
balans;osm-398-shkola-1314;osm-398-shkola-1314-1;28;2081
barklaya-6;shkola-integral;shkola-integral-1;7;506
barklaya-6;obrazovatelnyy-tsentr-proton;obrazovatelnyy-tsentr-proton-2;7;524
barklaya-6;osm-570-shkola-590;osm-570-shkola-590-1;13;947
barklaya-6;osm-254-tsentr-obrazovaniya-1816;osm-254-tsentr-obrazovaniya-1816-1;14;1070
barklaya-6;shkola-67;shkola-67-2;17;1263
barklaya-6;osm-183-tsentr-obrazovaniya-1497;osm-183-tsentr-obrazovaniya-1497-1;18;1341
barklaya-6;osm-11-srednyaya-shkola-72;osm-11-srednyaya-shkola-72-1;19;1420
barklaya-6;shkola-2101;shkola-2101-3;28;2112
barklaya-6;mediko-biologicheskaya-shkola-vita;mediko-biologicheskaya-shkola-vita-1;29;2143
barvikha-khills;osm-690-barvihinskaya-srednyaya-obsche;osm-690-barvihinskaya-srednyaya-obsche-1;28;2136
beregovoy-2;osm-46-akademicheskaya-gimnaziya;osm-46-akademicheskaya-gimnaziya-1;11;850
beregovoy-2;obrazovatelnyy-tsentr-proton;obrazovatelnyy-tsentr-proton-1;16;1177
beregovoy-2;osm-412-shkola-1114;osm-412-shkola-1114-1;16;1184
beregovoy-2;shkola-2048;shkola-2048-1;20;1491
beregovoy-2;osm-413-shkola-696;osm-413-shkola-696-1;22;1633
beregovoy-2;osm-11-srednyaya-shkola-72;osm-11-srednyaya-shkola-72-1;24;1832
beregovoy-2;osm-351-shkola-1253;osm-351-shkola-1253-2;25;1867
beregovoy-2;romanovskaya-shkola;romanovskaya-shkola-4;28;2123
berezki-river-village;osm-688-gorkovskaya-shkola;osm-688-gorkovskaya-shkola-1;19;1432
bernikovskaya-naberezhnaya-12;osm-482-tsentr-obrazovaniya-1685;osm-482-tsentr-obrazovaniya-1685-1;2;150
bernikovskaya-naberezhnaya-12;shkola-2104-na-taganke;shkola-2104-na-taganke-2;3;251
bernikovskaya-naberezhnaya-12;osm-650-pravoslavnaya-svyato-petrovska;osm-650-pravoslavnaya-svyato-petrovska-1;8;584
bernikovskaya-naberezhnaya-12;shkola-pokrovskiy-kvartal;shkola-pokrovskiy-kvartal-7;11;841
bernikovskaya-naberezhnaya-12;shkola-sotrudnichestva;shkola-sotrudnichestva-1;14;1016
bernikovskaya-naberezhnaya-12;shkola-tsentra-pedagogicheskogo-masterstva-tspm;shkola-tsentra-pedagogicheskogo-masterstva-tspm-2;14;1016
bernikovskaya-naberezhnaya-12;inzhenernaya-shkola-1581;inzhenernaya-shkola-1581-2;16;1190
bernikovskaya-naberezhnaya-12;osm-368-svyato-vladimirskaya-shkola;osm-368-svyato-vladimirskaya-shkola-1;16;1209
bernikovskaya-naberezhnaya-12;litsey-niu-vshe;litsey-niu-vshe-4;16;1230
bernikovskaya-naberezhnaya-12;osm-637-shkola-1271;osm-637-shkola-1271-1;17;1241
bernikovskaya-naberezhnaya-12;osm-496-spetsshkola-486;osm-496-spetsshkola-486-1;18;1376
bernikovskaya-naberezhnaya-12;osm-672-shkola-518;osm-672-shkola-518-1;20;1478
bernikovskaya-naberezhnaya-12;shkola-1270-vektor;shkola-1270-vektor-2;21;1549
bernikovskaya-naberezhnaya-12;osm-497-shkola-498;osm-497-shkola-498-1;22;1657
bernikovskaya-naberezhnaya-12;shkola-1259;shkola-1259-2;27;1990
bernikovskaya-naberezhnaya-12;osm-592-shkola-457;osm-592-shkola-457-1;28;2063
bernikovskaya-naberezhnaya-12;osm-525-shkola-1323;osm-525-shkola-1323-1;29;2165
bolshaya-nikitskaya-16;shkola-1520-im-kaptsovyh;shkola-1520-im-kaptsovyh-1;3;191
bolshaya-nikitskaya-16;osm-583-shkola-123;osm-583-shkola-123-1;3;201
bolshaya-nikitskaya-16;osm-569-shkola-110;osm-569-shkola-110-1;6;468
bolshaya-nikitskaya-16;shkola-2123-im-migelya-ernandesa;shkola-2123-im-migelya-ernandesa-1;6;471
bolshaya-nikitskaya-16;shkola-91;shkola-91-1;9;686
bolshaya-nikitskaya-16;osm-360-tsentr-obrazovaniya-1441-bronn;osm-360-tsentr-obrazovaniya-1441-bronn-1;12;893
bolshaya-nikitskaya-16;shkola-1234;shkola-1234-1;13;1009
bolshaya-nikitskaya-16;osm-563-shkola-1239;osm-563-shkola-1239-1;15;1128
bolshaya-nikitskaya-16;shkola-179;shkola-179-1;17;1273
bolshaya-nikitskaya-16;shkola-1231-im-v-d-polenova;shkola-1231-im-v-d-polenova-5;18;1346
bolshaya-nikitskaya-16;pyatdesyat-sedmaya-shkola;pyatdesyat-sedmaya-shkola-3;19;1397
bolshaya-nikitskaya-16;osm-34-shkola-1331-molodaya-iveriya;osm-34-shkola-1331-molodaya-iveriya-1;20;1536
bolshaya-nikitskaya-16;shkola-1529-imeni-a-s-griboedova;shkola-1529-imeni-a-s-griboedova-3;21;1566
bolshaya-nikitskaya-16;shkola-2054;shkola-2054-2;22;1625
bolshaya-nikitskaya-16;osm-21-shkola-1113;osm-21-shkola-1113-2;22;1684
bolshaya-nikitskaya-16;shkola-1950;shkola-1950-2;23;1691
bolshaya-nikitskaya-16;shkola-1574;shkola-1574-1;24;1774
bolshaya-nikitskaya-16;osm-92-shkolnoe-otdelenie-22-litseya-;osm-92-shkolnoe-otdelenie-22-litseya--1;24;1811
bolshaya-nikitskaya-16;litsey-niu-vshe;litsey-niu-vshe-1;29;2182
bolshaya-nikitskaya-16;osm-43-russkaya-klassicheskaya-gimnaz;osm-43-russkaya-klassicheskaya-gimnaz-1;30;2244
bolshaya-ordynka-25;osm-525-shkola-1323;osm-525-shkola-1323-1;5;351
bolshaya-ordynka-25;osm-331-elizavetinskaya-gimnaziya;osm-331-elizavetinskaya-gimnaziya-1;5;394
bolshaya-ordynka-25;shkola-1799;shkola-1799-3;9;692
