slug;name;name_short;dev_id;developer;class;class_zayavlen;class_why;class_declared;class_disputed;okrug;district;address;lat;lon;geo_precision;type;units_total;units_per_floor;floors;ceilings_m;parking;stage;deadline_initial;deadline;price_from_m2;price_median_m2;price_check;penthouses;penthouse_flag;architect;facade;energy_class;escrow;maintenance_rub_m2;website;sources;updated;p01;p02;p03;p04;p05;p06;p07;p08;p09;pasport;pasport_why;school_min;school_name;nota_school_min;nota_school_name;nota_15;marked_min;marked_name;marked_20;lots;lot_min_m2;lot_min_price;lots_median_m2;lots_date;has_foto;rynok
rezidentsii-arkhitektorov;Резиденции архитекторов;Резиденции архитекторов;afi-development;AFI Development;бизнес;бизнес;;бизнес;;ЦАО;Басманный;Бауманская ул., 47/1;55.76920;37.68090;адрес;квартиры;494;11;18;3.34;;сдан, есть остатки;;сдан;444828;;;;;;;;;;;https://mskguru.ru/novostroyki/1064-mzhk-rezidentsii-arhitektorov https://novostroev.ru/novostroyki/moskva/cao/basmannyy/rezidentsii-arkhitektorov/ https://novostroev.ru/novostroyki/moskva/cao/basmannyy/rezidentsii-arkhitektorov/1-komnatnye/ добор 04/05: этажность, квартиры, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (37489 +4) 24.09.2026;23.09.2026;да;да;да;да;нет данных;да;да;не применяется;да;Отметка;;4;Школа № 354 им. Д.М. Карбышева;4;Школа № 354 им. Д.М. Карбышева;1;;;0;;29;12900000;;23.09.2026;да;первичка и вторичка
headliner;HeadLiner;HeadLiner;gk-kortros;ГК КОРТРОС;бизнес;бизнес;минус к классу: плотность;бизнес;;ЦАО;Пресненский;Шмитовский пр-д, 39;55.75226;37.52663;адрес;квартиры;2154;5;55;3.10;1726;сдан, есть остатки;;сдан;485330;;;;;;;;;;;https://mskguru.ru/novostroyki/1015-zhk-tsentr-siti https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/tsentr-siti/ добор 04/05: этажность, квартиры, машиноместа, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (27925 +14) 24.09.2026;23.09.2026;да;да;да;нет;да;да;да;не применяется;да;Отметка;минусы: плотность;4;Романовская школа;4;Романовская школа;1;;;0;;81.8;39700000;;23.09.2026;да;первичка и вторичка
soul;СОУЛ (SOUL);СОУЛ;forma;FORMA;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;бизнес-премиум;да;САО;Аэропорт;Часовая ул., 28;55.81155;37.52312;адрес;квартиры;1284;;31;2.88;567;строится;;I кв. 2029;535937;;цены со скидкой застройщика (без скидки — выше);да;да;;;;;;https://soul.forma.ru/;"https://mskguru.ru/novostroyki/4915-zhk-soul https://novostroev.ru/novostroyki/moskva/sao/aeroport/soul/ https://forma.ru/market/projects/soul https://forma.ru/market/list добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (68001 +1) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/sao/aeroport/soul/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;да;да;да;Присмотреться;минусы: окружение, плотность, машина;12;Инженерно-техническая школа им. П.Р. Поповича;12;Инженерно-техническая школа им. П.Р. Поповича;2;16;Школа № 1575;1;146;26.8;21225656;;23.09.2026;да;первичка
amber-siti;Амбер Сити (AMBER CITY);Амбер Сити;gk-fsk;ГК ФСК;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;бизнес-премиум / премиум;да;САО;Хорошёвский;3-й Хорошёвский пр-д;55.77330;37.53875;адрес;квартиры;3500;16;60;3.08;775;строится;;III кв. 2027 – III кв. 2029;464800;;;;;;;;;;https://fsk.ru/amber-city;"https://mskguru.ru/novostroyki/5104-zhk-amber-city https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ https://novostroev.ru/novostroyki/moskva/sao/khoroshyevskiy/amber-city/ https://fsk.ru/amber-city https://fsk.ru/amber-city/flats добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (72362 +5) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/sao/khoroshyevskiy/amber-city/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;да;да;да;Присмотреться;минусы: окружение, плотность, машина;4;Школа № 1288 им. Н.В. Троян;4;Школа № 1288 им. Н.В. Троян;2;29;Школа № 1409;0;335;28.6;16900000;;23.09.2026;да;первичка
indy-towers;INDY Towers;INDY Towers;gruppa-akvilon;Группа Аквилон;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;САО;Хорошёвский;ул. Куусинена, вл. 21;55.78982;37.50960;адрес;квартиры;959;13;58;3.00;487;строится;;IV кв. 2026 – III кв. 2029;552308;;;;;;;;;;https://msk.group-akvilon.ru/project/indi-tauerz-ot-akvilon/;"https://mskguru.ru/novostroyki/4959-zhk-indy-towers https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ https://novostroev.ru/novostroyki/moskva/sao/khoroshyevskiy/indy-towers-kuusinena-21/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (65452 +1) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/sao/khoroshyevskiy/indy-towers-kuusinena-21/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;да;да;да;Присмотреться;минусы: окружение, плотность, машина;9;Школа № 1251 им. Шарля де Голля;9;Школа № 1251 им. Шарля де Голля;1;18;Курчатовская школа;1;;21.2;19000000;;23.09.2026;да;первичка
sezar-siti;Сезар Сити (SEZAR CITY);Сезар Сити;sezar-group;Sezar Group;бизнес;бизнес;;бизнес;;САО;Хорошёвский;2-й Хорошёвский пр-д, 7;55.77234;37.53169;адрес;квартиры;605;7;54;3.10;696;строится;;III кв. 2027 – IV кв. 2027;510000;;;;;;;;;;https://sezar-group.ru/projects/sezarcity;"https://mskguru.ru/novostroyki/5095-zhk-sezar-city https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ https://novostroev.ru/novostroyki/moskva/sao/khoroshyevskiy/sezar-city/ https://sezar-group.ru/projects/sezarcity добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (59686 +1) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/sao/khoroshyevskiy/sezar-city/ 24.09.2026";23.09.2026;да;да;нет;да;да;да;да;да;да;Отметка;минусы: повседневность;12;Школа № 1288 им. Н.В. Троян;12;Школа № 1288 им. Н.В. Троян;1;;;0;381;36;23600000;;23.09.2026;да;первичка
seliger-siti;Селигер Сити;Селигер Сити;mr-group;MR Group;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;САО;Западное Дегунино;Ильменский пр-д, вл. 14;55.86066;37.54529;адрес;квартиры;4666;5;47;2.70;2278;строится;;I кв. 2027;437880;;цены со скидкой застройщика (без скидки — выше);да;да;;;;;;https://www.mr-group.ru/projects/zhk-seliger-siti/;https://mskguru.ru/novostroyki/1069-zhk-seliger-siti https://mskguru.ru/rayon/sao https://www.mr-group.ru/projects/zhk-seliger-siti/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (50366 +12) 24.09.2026;23.09.2026;да;нет;да;нет;нет;да;да;да;да;Присмотреться;минусы: окружение, плотность, машина;10;Лицей №1594;19;Школа № 656 им. А.С. Макаренко;0;;;0;12;29.0;19362434;;23.09.2026;да;первичка
mangazeya-na-rechnom;Мангазея на Речном;Мангазея на Речном;gk-mangazeya;ГК Мангазея;бизнес;бизнес;;бизнес;;САО;Левобережный;Ленинградское ш., 57;55.85506;37.46422;адрес;квартиры;592;;26;2.95;2500;строится;;III кв. 2027;630197;;;;;;;;;;;"https://mskguru.ru/novostroyki/5067-zhk-mangazeya-na-rechnom https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/mangazeya-na-rechnom/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (59144) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/mangazeya-na-rechnom/ 24.09.2026";23.09.2026;да;да;да;да;да;нет данных;да;да;да;Отметка;;10;Cambridge International School (CIS);10;Cambridge International School (CIS);1;;;0;74;28.5;22600000;;23.09.2026;да;первичка
severnyy-port-beregovye-kvartaly;Северный порт. Береговые кварталы;Северный порт. Береговые кварталы;legenda-intelligent-development;LEGENDA Intelligent Development;бизнес;бизнес;минус к классу: плотность;бизнес;;САО;Левобережный;Ленинградское ш., 57-63;55.86559;37.46222;адрес;квартиры;2124;9;61;3.15;;строится;;IV кв. 2028 – IV кв. 2030;495800;;;;;;;;;;;"https://mskguru.ru/novostroyki/4668-zhk-severnyyjj-rechnojj-port https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/severnyy-port-beregovye-kvartaly/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (58256) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/sao/levoberezhnyy/severnyy-port-beregovye-kvartaly/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет данных;да;да;да;да;Присмотреться;минусы: окружение, повседневность, плотность;12;Школа № 158;12;Школа № 158;1;;;0;;28.1;17600000;;23.09.2026;да;первичка
indzhoy;Инджой (INJOY);Инджой;talan;Талан;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;САО;Войковский;ул. Адмирала Макарова;55.83014;37.49399;адрес;квартиры;1506;;36;3.00;673;строится;;2027;490700;;;24;да;;;;;;;"https://mskguru.ru/novostroyki/5002-zhk-injoy https://www.cian.ru/novostroyki-biznes-klassa-moskva-sao-045/ approx-coords https://novostroev.ru/novostroyki/moskva/sao/voykovskiy/zhk-vibe/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (53748) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/sao/voykovskiy/zhk-vibe/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;да;да;да;Присмотреться;минусы: окружение, плотность, машина;4;Школа № 224;4;Школа № 224;2;;;0;335;25;19400000;;23.09.2026;да;первичка
