slug;name;name_short;dev_id;developer;class;class_zayavlen;class_why;class_declared;class_disputed;okrug;district;address;lat;lon;geo_precision;type;units_total;units_per_floor;floors;ceilings_m;parking;stage;deadline_initial;deadline;price_from_m2;price_median_m2;price_check;penthouses;penthouse_flag;architect;facade;energy_class;escrow;maintenance_rub_m2;website;sources;updated;p01;p02;p03;p04;p05;p06;p07;p08;p09;pasport;pasport_why;school_min;school_name;nota_school_min;nota_school_name;nota_15;marked_min;marked_name;marked_20;lots;lot_min_m2;lot_min_price;lots_median_m2;lots_date;has_foto;rynok
mypriority-mnevniki;MYPRIORITY Мнёвники;MYPRIORITY Мнёвники;gk-granel;ГК Гранель;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;СЗАО;Хорошёво-Мнёвники;ул. Народного Ополчения, 34;55.77800;37.47600;квартал (каталог);квартиры;1899;11;41;3.20;675;строится;;4 кв. 2028 (к.1), 4 кв. 2029 (к.2);477284;;;;;;;;;;https://granelle.ru/objects/mypriority-mnevniki/;"novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/mypriority-mnevniki/, coords approx https://granelle.ru/objects/mypriority-mnevniki/ https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/mypriority-mnevniki/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (62557 +1) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/mypriority-mnevniki/ 24.09.2026";23.09.2026;да;нет данных;да;нет;нет;да;да;да;да;Отметка;минусы: плотность, машина;2;Школа № 1515;2;Школа № 1515;5;17;Школа № 1517;1;439;28.1;16169209;;23.09.2026;да;первичка
emoushen;Эмоушен;Эмоушен;gk-osnova;ГК Основа;бизнес;бизнес;минус к классу: паркинг;бизнес;;СЗАО;Хорошёво-Мнёвники;2-й Силикатный проезд, 8;55.76858;37.50687;адрес;апартаменты;551;;30;;380;строится;;2 кв. 2027;401400;;;да;да;;;;;;https://gk-osnova.ru/emotion;"novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/emotion/, coords approx https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/emotion/ https://gk-osnova.ru/emotion https://gk-osnova.ru/emotion/kupit-kvartiru https://gk-osnova.ru/ добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (53464) 24.09.2026; квартиры, машиноместа — https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/emotion/ 24.09.2026";23.09.2026;да;нет;да;да;нет;да;да;нет;да;Присмотреться;минусы: окружение, машина, юридика;13;Школа 1253;16;Школа № 1560 «Лидер»;0;;;0;;18.1;10900000;;23.09.2026;да;первичка
kvartal-serebryanyy-bor;Квартал Серебряный Бор;Квартал Серебряный Бор;st-michael;St Michael;бизнес;бизнес;минус к классу: паркинг;бизнес;;СЗАО;Хорошёво-Мнёвники;ул. Берзарина, 37;55.78907;37.47195;адрес;квартиры;504;;26;3.00;110;старт продаж;;2 кв. 2027;600000;;;;;;;;;;https://stmichael.ru/projects/kvartal-serebryanyj-bor/;"novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/kvartal-serebryanyy-bor/, coords approx https://stmichael.ru/projects/kvartal-serebryanyj-bor/ https://stmichael.ru/ https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/kvartal-serebryanyy-bor/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (57817) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/kvartal-serebryanyy-bor/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет данных;да;да;да;Отметка;минусы: машина;7;Школа № 138;7;Школа № 138;2;7;Курчатовская школа;2;3;31;22700000;;23.09.2026;да;первичка
crystal-trilogiya;Crystal Трилогия;Crystal Трилогия;kontsern-krost;Концерн КРОСТ;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;СЗАО;Хорошёво-Мнёвники;ул. Генерала Глаголева, 16с1;55.78240;37.46533;адрес;квартиры;978;13;49;3.05;190;строится;;I кв. 2027;541000;;;;;;;;;;https://krost.ru/projects/crystal;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/crystal-kristall/, coords approx https://krost.ru/flats?complex=28&type=0 https://krost.ru/flats?complex=28&type=0&rooms=1 https://krost.ru/flats?complex=28&type=0&rooms=2 https://krost.ru/flats?complex=28&type=0&rooms=3 добор 04/05: этажность, квартиры, машиноместа, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (28023) 24.09.2026;23.09.2026;да;да;нет;нет;нет;нет;да;не применяется;да;Без отметки;минусы: повседневность, плотность, машина, застройщик;2;Школа № 138;2;Школа № 138;3;10;Школа № 1517;1;59;38.5;23254000;;23.09.2026;да;первичка
veresk;Вереск;Вереск;gk-samolet;ГК Самолёт;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;СЗАО;Хорошёво-Мнёвники;3-я Хорошевская, 19к3с2;55.78475;37.49814;адрес;апартаменты;957;7;22;3.10;312;сдан, есть остатки;;сдан;352400;;;;;;;;;;;novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/v-khoroshyevo-mnyevnikakh/, coords approx https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/v-khoroshyevo-mnyevnikakh/ добор 04/05: этажность, квартиры, машиноместа, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (34307) 24.09.2026;23.09.2026;да;да;да;нет;нет;нет;да;нет;да;Без отметки;красная линия: юридика;13;Курчатовская школа;13;Курчатовская школа;1;13;Курчатовская школа;1;;38;19700000;;23.09.2026;да;первичка и вторичка
jois;JOIS;JOIS;mr-group;MR Group;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум (novostroev), позиционируется в верхнем бизнесе / премиум;да;СЗАО;Хорошёво-Мнёвники;3-й Силикатный проезд, 10;55.77170;37.50588;адрес;квартиры;1306;11;58;3.00;235;строится;;4 кв. 2027;625409;;цены со скидкой застройщика (без скидки — выше);да;да;;;;;;https://www.mr-group.ru/projects/zhk-jois/;"novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/jois-dzhoys/, класс спорный, coords approx https://www.mr-group.ru/projects/zhk-jois/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (56687) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/jois-dzhoys/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет;да;да;да;да;Без отметки;минусы: окружение, повседневность, плотность, машина;15;Школа № 1560 «Лидер»;15;Школа № 1560 «Лидер»;1;;;0;198;22.1;19832525;;23.09.2026;да;первичка
sezar-silika;Сезар Силика;Сезар Силика;sezar-group;Sezar Group;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, потолки;бизнес (novostroev, фильтр), премиум (карточка);да;СЗАО;Хорошёво-Мнёвники;3-й Силикатный проезд, 3;55.76952;37.49831;адрес;квартиры;666;8;54;3.00;;старт продаж;;1 кв. 2030;452700;;;;;;;;;;;"novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/sezar-silica/, класс спорный, coords approx https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/sezar-silica/ https://sezar.ru/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (73110) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/sezar-silica/ 24.09.2026";23.09.2026;да;нет;нет;да;нет данных;да;да;да;да;Отметка;минусы: окружение, повседневность;11;Школа № 1560 «Лидер»;11;Школа № 1560 «Лидер»;1;;;0;;;22800000;;23.09.2026;да;первичка
vysotka-na-zhukova;Высотка на Жукова (Демьяна Бедного, 24);Высотка на Жукова;kontsern-krost;Концерн КРОСТ;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, паркинг, потолки;премиум / премиум;да;СЗАО;Хорошёво-Мнёвники;ул. Демьяна Бедного, 24;55.78025;37.48802;адрес;квартиры+апартаменты;346;5;39;3.00;167;строится;;3 кв. 2029;734000;;;;;;;;;;;"novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/demyana-bednogo-24/, coords approx https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/demyana-bednogo-24/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (52790) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/demyana-bednogo-24/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет;нет;да;нет;Без отметки;минусы: машина, застройщик, сроки дома, цена против класса;7;Школа № 1560 «Лидер»;7;Школа № 1560 «Лидер»;2;24;Курчатовская школа;0;;44;37600000;;23.09.2026;да;первичка
moments;МОМЕНТС;МОМЕНТС;forma;Forma (ПИК);бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;СЗАО;Покровское-Стрешнево;3-й Красногорский проезд;55.81385;37.48113;адрес;квартиры;1656;13;42;2.65;476;строится;;1 кв. 2027;474240;;цены со скидкой застройщика (без скидки — выше);да;да;;;;;;https://forma.ru/market/projects/moments;"novostroev.ru/novostroyki/moskva/szao/shchukino/moments/, coords approx https://forma.ru/market/projects/moments https://forma.ru/market/list добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (53988) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/shchukino/moments/ 24.09.2026";23.09.2026;да;да;да;нет;нет;да;да;да;да;Отметка;минусы: плотность, машина;14;"Школа ""Ювенес"". Начальные классы";16;Курчатовская школа;0;16;Курчатовская школа;2;123;26;20666482;;23.09.2026;да;первичка
rakurs;Ракурс;Ракурс;dar;DAR (Дар Девелопмент);бизнес;бизнес;минус к классу: плотность, потолки;бизнес;;СЗАО;Щукино;ул. Маршала Бирюзова, 1;55.80008;37.47684;адрес;квартиры;915;8;46;2.68;;строится;;2 кв. 2026 (к.1), 1 кв. 2028 (к.2-4);503403;;цены со скидкой застройщика (без скидки — выше);;;;;;;;https://rakurs.moscow/;"novostroev.ru/novostroyki/moskva/szao/shchukino/rakurs-rakurs/, mskguru.ru/novostroyki/5136-zhk-rakurs, coords approx https://rakurs.moscow/catalog https://dar-development.ru/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (62590) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/shchukino/rakurs-rakurs/ 24.09.2026";23.09.2026;да;да;нет;нет;нет данных;нет данных;да;да;да;Отметка;минусы: повседневность, плотность;9;Центр образования №1854;10;Курчатовская школа;4;10;Курчатовская школа;1;208;28.7;19114922;;23.09.2026;да;первичка
intonatsiya;Интонация;Интонация;gk-mangazeya;ГК Мангазея;бизнес;бизнес;минус к классу: паркинг;бизнес;;СЗАО;Щукино;ул. Щукинская, 7;55.80759;37.47952;адрес;квартиры;308;;23;3.10;186;сдан, есть остатки;;сдан;430560;;;;;;;;;;https://xn--80aaijj0ai2m.xn--p1ai/projects/intonacia;"novostroev.ru/novostroyki/moskva/szao/shchukino/intonatsiya/, coords approx https://xn--80aaijj0ai2m.xn--p1ai/projects/intonacia https://novostroev.ru/novostroyki/moskva/szao/shchukino/intonatsiya/ https://novostroev.ru/novostroyki/moskva/szao/shchukino/intonatsiya/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (42441) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/szao/shchukino/intonatsiya/ 24.09.2026";23.09.2026;да;да;нет;да;нет;нет данных;да;не применяется;да;Отметка;минусы: повседневность, машина;5;"Школа ""Ювенес"". Начальные классы";8;Курчатовская школа;2;8;Курчатовская школа;2;81;48.1;23940332;;23.09.2026;да;первичка и вторичка
zhivopisnaya-27;Живописная, 27;Живописная, 27;struktura-development;Struktura Development;бизнес;бизнес;;не заявлен;;СЗАО;Щукино;ул. Живописная, 27;55.79887;37.45004;адрес;квартиры;;;;;;анонс;;;;;;;;;;;;;;novostroev.ru/novostroyki/moskva/szao/shchukino/zhivopisnaya-27/, продажи не начаты, coords approx https://novostroev.ru/novostroyki/moskva/szao/shchukino/zhivopisnaya-27/;23.09.2026;да;да;нет;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;Присмотреться;мало данных: известно 3 из 9 · минусы: повседневность;8;Школа № 1210;8;Школа № 1210;1;20;Курчатовская школа;1;;;;;;;анонс
strogino-360;Строгино 360;Строгино 360;pik;ПИК;бизнес;бизнес;минус к классу: паркинг, потолки;бизнес;;СЗАО;Строгино;ул. Маршала Прошлякова, 12 / ул. Маршала Воробьева, 12;55.79025;37.39242;адрес;квартиры;436;6;38;2.76;169;строится;;IV кв. 2028 – IV кв. 2029;450000;;;;;;;;;;;"novostroev.ru/novostroyki/moskva/szao/strogino/strogino-360/, coords approx https://zhk-strogino-i.cian.ru/ https://www.cian.ru/cat.php?deal_type=sale&engine_version=2&offer_type=flat&from_developer=1&newobject%5B0%5D=5726981&sort=price_object_order https://novostroev.ru/novostroyki/moskva/szao/strogino/strogino-360/ https://www.cian.ru/sale/flat/333720356/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (73323 +2) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/strogino/strogino-360/ 24.09.2026";23.09.2026;да;нет;нет;да;нет;да;да;да;да;Присмотреться;минусы: окружение, повседневность, машина;17;Школа №58;23;Школа № 1155;0;;;0;154;29.3;17436547;;23.09.2026;да;первичка
siti-bey;Сити Бэй (City Bay);Сити Бэй;mr-group;MR Group;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг;бизнес / премиум;да;СЗАО;Покровское-Стрешнево;Волоколамское шоссе, 95-97;55.82957;37.40435;адрес;квартиры;5460;;61;;710;строится;;2 кв. 2027;386317;;"цена не бьётся с классом; цены со скидкой застройщика (без скидки — выше)";да;да;;;;;;https://www.mr-group.ru/projects/zhk-citybay/;"novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/city-bay/, coords approx https://www.mr-group.ru/projects/zhk-citybay/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (69273 +5) 24.09.2026; машиноместа — https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/city-bay/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;да;да;да;нет;Без отметки;минусы: окружение, плотность, машина, цена против класса;3;Курчатовская школа;3;Курчатовская школа;1;3;Курчатовская школа;1;795;25.9;16566860;;23.09.2026;да;первичка
sitizen;Ситизен (CityZen);Ситизен;mr-group;MR Group;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;СЗАО;Покровское-Стрешнево;ул. Вишневая;55.8298;37.4380;ЕИСЖС, объект 57752 (исправлено 23.09);квартиры;1574;8;58;2.75;594;строится;;3 кв. 2027;485841;;цены со скидкой застройщика (без скидки — выше);;;;;;;;https://www.mr-group.ru/projects/cityzen/;"novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/cityzen/, coords approx https://www.mr-group.ru/projects/cityzen/ https://www.mr-group.ru/flats/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (57752 +2) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/cityzen/ 24.09.2026";23.09.2026;да;нет данных;нет;нет;нет;да;да;да;да;Присмотреться;минусы: повседневность, плотность, машина;10;Школа № 830;10;Школа № 830;1;;;0;318;20.8;15312024;;23.09.2026;да;первичка
alia;АЛИА;АЛИА;asterus;Asterus;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, потолки;бизнес / премиум;да;СЗАО;Покровское-Стрешнево;ул. Лётная, 95Б;55.82347;37.41579;адрес;квартиры;1975;;43;3.02;;строится, есть сданные;;2 кв. 2028;501700;;;да;да;;;;;;https://alia.moscow/;"novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/alia/, coords approx https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/alia/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (61294 +1) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/alia/ 24.09.2026";23.09.2026;да;да;нет;нет;нет данных;нет;да;да;да;Присмотреться;минусы: повседневность, плотность, застройщик;17;Школа № 727;17;Школа № 727;0;29;Курчатовская школа;0;;26;18100000;;23.09.2026;да;первичка и вторичка
skay-garden;Скай Гарден (Sky Garden);Скай Гарден;gk-fsk;ГК ФСК;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;СЗАО;Покровское-Стрешнево;Строительный проезд, 9;55.83658;37.42190;адрес;квартиры;2975;7;46;2.85;798;строится, есть сданные;;II кв. 2025 – II кв. 2027;350200;;;;;;;;;;https://fsk.ru/skygarden;"novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/sky-garden/, coords approx https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/sky-garden/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (56265 +2) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/sky-garden/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;да;да;Присмотреться;минусы: повседневность, плотность, машина;7;Школа № 1285;7;Школа № 1285;1;25;Курчатовская школа;0;283;33.8;13900000;;23.09.2026;да;первичка и вторичка
level-streshnevo;Level Стрешнево;Level Стрешнево;level-group;Level Group;бизнес;бизнес;;бизнес;;СЗАО;Покровское-Стрешнево;Волоколамское шоссе, 81;55.82655;37.41524;адрес;квартиры;747;;26;3.00;970;сдан, есть остатки;;сдан;273800;;;;;;;;;;;"novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/level-streshnevo/, coords approx https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/level-streshnevo/ добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (44786 +2) 24.09.2026; квартиры, потолки — https://novostroev.ru/novostroyki/moskva/szao/pokrovskoe-streshnevo/level-streshnevo/ 24.09.2026";23.09.2026;да;нет;нет;да;да;да;да;нет;да;Без отметки;красная линия: юридика;16;Школа № 727;16;Школа № 727;0;18;Курчатовская школа;1;;124.1;34000000;;23.09.2026;да;первичка и вторичка
u2;U2 (ЮТУ);U2;gk-tochno;ГК ТОЧНО;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;СЗАО;Южное Тушино;ул. Лодочная, 27;55.83692;37.46239;адрес;квартиры;996;;31;2.90;198;строится;;1 кв. 2028;422700;;;;;;;;;;;"novostroev.ru/novostroyki/moskva/szao/yuzhnoe-tushino/u2/, coords approx https://novostroev.ru/novostroyki/moskva/szao/yuzhnoe-tushino/u2/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (66013) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/szao/yuzhnoe-tushino/u2/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;да;да;Присмотреться;минусы: повседневность, плотность, машина;9;Школа № 1551;9;Школа № 1551;2;;;0;;38.5;22000000;;23.09.2026;да;первичка
level-svobody;Level Свободы;Level Свободы;level-group;Level Group;бизнес;бизнес;;не заявлен;;СЗАО;Северное Тушино;ул. Свободы, 35;55.84124;37.45252;адрес;квартиры;;;;;;анонс;;IV кв. 2028;;;;;;;;;;;;novostroev.ru/novostroyki/moskva/szao/severnoe-tushino/, продажи не начаты, coords approx https://novostroev.ru/novostroyki/moskva/szao/severnoe-tushino/na-ul-svobody-35/;23.09.2026;да;да;нет;нет данных;нет данных;да;нет данных;нет данных;нет данных;Отметка;минусы: повседневность;13;Школа № 1551;13;Школа № 1551;1;;;0;;;;;;да;анонс
level-prichalnyy;Level Причальный;Level Причальный;level-group;Level Group;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность;премиум (novostroev), в фильтре бизнес;да;СЗАО;Хорошёво-Мнёвники;Причальный проезд;55.76065;37.51797;адрес;квартиры;2000;;33;3.45;;сдан, есть остатки;;сдан;656800;;;;;;;;;;;"novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/level-prichalnyy/, класс спорный, coords approx https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/level-prichalnyy/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (45204 +7) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/szao/khoroshyevo-mnyevniki/level-prichalnyy/ 24.09.2026";23.09.2026;да;да;да;нет;нет данных;да;да;не применяется;да;Отметка;минусы: плотность;2;Школа № 2048;2;Школа № 2048;1;;;0;;23.2;19800000;;23.09.2026;да;первичка и вторичка
zilart;ЗИЛАРТ;ЗИЛАРТ;gruppa-lsr;Группа ЛСР;бизнес;бизнес;;бизнес;;ЮАО;Даниловский;ул. Автозаводская, вл. 23;55.69692;37.65748;адрес;квартиры;483;13;43;3.00;12500;строится;;4 кв. 2027;569800;;;;;;;;;;https://www.lsr.ru/msk/zhilye-kompleksy/zilart/;mskguru.ru/novostroyki/795-zhk-zilart | novostroev.ru/novostroyki/moskva/uao/biznes-class/ | irn.ru/novostroyki/moskva/danilovskijj/ (координаты approx) https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/zilart/ добор 04/05: этажность, квартиры, машиноместа, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (20764) 24.09.2026;23.09.2026;да;нет;да;нет;да;да;да;не применяется;да;Отметка;минусы: окружение, плотность;17;Школа № 463 им. Д.Н. Медведева;17;Школа № 463 им. Д.Н. Медведева;0;;;0;790;17.8;16800000;;23.09.2026;да;первичка
mark;МАРК;МАРК;gruppa-lsr;Группа ЛСР;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЮАО;Даниловский;ул. Автозаводская (ЗИЛ);55.70259;37.63062;адрес;квартиры;844;13;44;3.00;211;строится;;2 кв. 2028;484000;;;;;;;;;;;"mskguru.ru/novostroyki/5202-zhk-mark | novostroev.ru/novostroyki/moskva/uao/biznes-class/ (координаты approx) https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/mark/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (64446) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/mark/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;да;да;Присмотреться;минусы: повседневность, плотность, машина;11;Школа № 548 «Царицыно»;26;Школа № 547;0;;;0;;28.2;15600000;;23.09.2026;да;первичка
shagal;Shagal (Шагал);Shagal;gruppa-etalon;Группа Эталон;бизнес;бизнес;минус к классу: плотность;бизнес (mskguru) / комфорт (novostroev);;ЮАО;Даниловский;наб. Марка Шагала (ЗИЛ-Юг);55.69988;37.63060;адрес;квартиры;4533;;29;2.99;;строится;;4 кв. 2026 - 2028;357000;;;;;;;;;;https://etalongroup.ru/msk/object/shagal/;"mskguru.ru/novostroyki/1371-zhk-zil-jug | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/shagal/ https://etalongroup.ru/msk/object/shagal/ https://etalongroup.ru/msk/choose/flat/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (67498 +12) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/shagal/ 24.09.2026";23.09.2026;да;да;нет;нет;нет данных;да;да;да;да;Отметка;минусы: повседневность, плотность;12;Школа № 548 «Царицыно»;28;Школа № 547;0;;;0;;27.9;14600000;;23.09.2026;да;первичка
nagatino-ay-lend;Нагатино Ай-Лэнд;Нагатино Ай-Лэнд;gruppa-etalon;Группа Эталон;бизнес;бизнес;минус к классу: плотность;бизнес;;ЮАО;Даниловский;ул. Автозаводская, 23/184;55.69692;37.65748;адрес;квартиры;1221;;38;3.10;1500;строится;;2 кв. 2027;425100;;;;;;;;;;https://etalongroup.ru/msk/;"mskguru.ru/novostroyki/1262-zhk-central-park-tsentral-park | novostroev.ru/novostroyki/moskva/uao/biznes-class/ (координаты approx) https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/nagatino-i-land/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (49777 +1) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/nagatino-i-land/ 24.09.2026";23.09.2026;да;нет;да;нет;да;да;нет;да;да;Присмотреться;минусы: окружение, плотность, сроки дома;17;Школа № 463 им. Д.Н. Медведева;17;Школа № 463 им. Д.Н. Медведева;0;;;0;;24.5;16100000;;23.09.2026;да;первичка
level-paveletskaya-siti;Level Павелецкая Сити;Level Павелецкая Сити;level-group-mr-group;Level Group / MR Group;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЮАО;Даниловский;ул. Дубининская, 59-69;55.71911;37.63480;адрес;квартиры;3252;7;46;3.00;1411;строится;;I кв. 2028 – IV кв. 2029;581207;;;;;;;;;;https://level.ru/projects/paveletskaya-city/;mskguru.ru/novostroyki/1436-zhk-dubininskaja-59-69 | novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://level.ru/projects/paveletskaya-city/ https://level.ru/filter/?project=pav_city https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/na-ul-dubininskaya-59/ добор 04/05: этажность, квартиры, квартир на этаже, потолки — наш.дом.рф, объекты ЕИСЖС (39043 +8) 24.09.2026;23.09.2026;да;нет;нет;нет;нет;да;да;не применяется;да;Без отметки;минусы: окружение, повседневность, плотность, машина;9;Школа № 627 им. Д.Д. Лелюшенко;9;Школа № 627 им. Д.Д. Лелюшенко;2;;;0;155;29.0;18771643;;23.09.2026;да;первичка
aura;АУРА (Мангазея на Тульской);АУРА;ooo-mangazeya;ООО Мангазея;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;бизнес / премиум;да;ЮАО;Даниловский;Тульская эстакада;55.70447;37.61773;адрес;квартиры;916;;44;3.10;563;строится;;IV кв. 2027;675400;;;да;да;;;;;;https://aura-moscow.ru/;"mskguru.ru/novostroyki/5084-zhk-mangazeya-na-tulyskojj | irn.ru/novostroyki/moskva/danilovskijj/ https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/mangazeya-na-tulskoy/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (60548) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/mangazeya-na-tulskoy/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;нет данных;да;да;да;Присмотреться;минусы: окружение, плотность, машина;9;Школа № 547;9;Школа № 547;2;;;0;103;28.3;22800000;;23.09.2026;да;первичка
