data;domov;dobavleno;ubrano;izmeneno;otmetka;prismotretsya;bez;chto
24.09.2026;350;;23;;154;114;82;сверили сроки, эскроу и застройщиков по наш.дом.рф и ЕРЗ.РФ, добрали квартиры, этажность и потолки, пересчитали класс NOTA, убрали с карты 21 коттеджный и таунхаусный посёлок Рублёвки и 2 дубля
24.09.2026;352;2;0;101;143;122;87;добавили два дома в анонсе — «Правда» в Беговом и «Вавилова 64» в Гагаринском, сверили стадии и сроки с наш.дом.рф — 8 домов сданы, у 36 сдана часть корпусов, у 21 дома срок сдачи сдвинут по декларации, добрали машиноместа у 46 домов, поэтому у части домов появился минус по машиноместам
