slug;name;developer;class;district;address;has_img
sreda-na-lobachevskogo;Среда на Лобачевского;Среда;бизнес;Очаково-Матвеевское;Очаковское шоссе, 5;
strana-ozernaya;Страна.Озерная;Страна Девелопмент;бизнес;Очаково-Матвеевское;ул. Озёрная, 42-44;
matveevskiy-park;Матвеевский парк;ПИК;бизнес;Очаково-Матвеевское;Очаковское шоссе, вл. 3, 5А;
barklaya-6;Барклая 6;ПИК;бизнес;Филёвский парк;ул. Барклая, 6;
grand-fili;Гранд Фили;Granard;бизнес;Филёвский парк;ул. Большая Филёвская, 2;
beregovoy-2;Береговой 2;Главстрой;премиум;Филёвский парк;Береговой проезд, вл. 2;
famous;Famous;MR Group;премиум;Филёвский парк;Багратионовский проезд, вл. 5;
kutuzovskiy-kvartal;Кутузовский квартал;ПИК+;бизнес;Кунцево;ул. Ивана Франко;
indivo;Индиво;Forma (ПИК);бизнес;Кунцево;ул. Ивана Франко;
nexus-by-akvilon;NEXUS by Akvilon;Группа Аквилон;бизнес;Кунцево;ул. Ярцевская, 21/1;
set;SET;MR Group;бизнес;Можайский;ул. Верейская, 29/32Б;
veer;Veer;MR Group;бизнес;Можайский;ул. Верейская, 29;
vereyskaya-41;Верейская 41;ГК Самолёт;бизнес;Можайский;ул. Верейская, 41;
stellar-siti;Стеллар Сити;ГК Ташир;бизнес;Можайский;Москва, Сколковское шоссе, 40к3;
sitimiks;СИТИМИКС;Apsis Globe;бизнес;Тропарёво-Никулино;;
kutuzov-siti;Кутузов Сити;PLATO Development;элитный;Можайский;ул. Гродненская, 18;
molodogvardeyskaya-54;Молодогвардейская 54 (М54);Главстрой Москва;бизнес;Кунцево;ул. Молодогвардейская, 54;
fenomen-goroda;Феномен города;BMS Development;премиум;Фили-Давыдково;Староволынская ул.;
na-kutuzovskom-prospekte-36;На Кутузовском проспекте, 36;Главстрой Москва;бизнес;Дорогомилово;Кутузовский пр-т, 36;
u-poklonnoy-gory;У Поклонной горы;ГК Самолёт;бизнес;Дорогомилово;;
poklonnaya-7;Поклонная 7;Спецстрой-1;премиум;Дорогомилово;ул. Поклонная, 7;
ostrov;Остров;Донстрой;премиум;Хорошёво-Мнёвники;ул. Нижние Мнёвники, уч. 37Б;
sidney-siti;Сидней Сити (Sydney City);ГК ФСК;премиум;Хорошёво-Мнёвники;ул. Шеногина, 2;
sydney-prime;Sydney Prime;ГК ФСК;премиум;Хорошёво-Мнёвники;ул. Шеногина, 2;
mypriority-mnevniki;MYPRIORITY Мнёвники;ГК Гранель;бизнес;Хорошёво-Мнёвники;ул. Народного Ополчения, 34;
emoushen;Эмоушен;ГК Основа;бизнес;Хорошёво-Мнёвники;2-й Силикатный проезд, 8;
kvartal-serebryanyy-bor;Квартал Серебряный Бор;St Michael;бизнес;Хорошёво-Мнёвники;ул. Берзарина, 37;
crystal-trilogiya;Crystal Трилогия;Концерн КРОСТ;бизнес;Хорошёво-Мнёвники;ул. Генерала Глаголева, 16с1;
veresk;Вереск;ГК Самолёт;бизнес;Хорошёво-Мнёвники;3-я Хорошевская, 19к3с2;
jois;JOIS;MR Group;премиум;Хорошёво-Мнёвники;3-й Силикатный проезд, 10;
sezar-silika;Сезар Силика;Sezar Group;премиум;Хорошёво-Мнёвники;3-й Силикатный проезд, 3;
vysotka-na-zhukova;Высотка на Жукова (Демьяна Бедного, 24);Концерн КРОСТ;премиум;Хорошёво-Мнёвники;ул. Демьяна Бедного, 24;
moments;МОМЕНТС;Forma (ПИК);бизнес;Покровское-Стрешнево;3-й Красногорский проезд;
rakurs;Ракурс;DAR (Дар Девелопмент);бизнес;Щукино;ул. Маршала Бирюзова, 1;
intonatsiya;Интонация;ГК Мангазея;бизнес;Щукино;ул. Щукинская, 7;
zhivopisnaya-27;Живописная, 27;Struktura Development;бизнес;Щукино;ул. Живописная, 27;
strogino-360;Строгино 360;ПИК;бизнес;Строгино;ул. Маршала Прошлякова, 12 / ул. Маршала Воробьева, 12;
siti-bey;Сити Бэй (City Bay);MR Group;премиум;Покровское-Стрешнево;Волоколамское шоссе, 95-97;
