school_id;school;in_nota_base;type;tier;building;lat;lon;source;osm_id
osm-498-shkola-54;Школа №54;нет;Другая;;Школа №54;55.723771;37.570351;OpenStreetMap, корпус;w343922114
osm-499-tsentr-obrazovaniya-lichnost;"Центр образования ""Личность""";нет;Другая;;"Центр образования ""Личность""";55.719327;37.789303;OpenStreetMap, корпус;w345118620
osm-500-shkola-im-hinksona;Школа им. Хинксона;нет;Другая;;Школа им. Хинксона;55.674892;37.576726;OpenStreetMap, корпус;w355662159
osm-501-shkola-494-im;Школа №494 им;нет;Другая;;Школа №494 им. А. Н. Рожкова;55.704728;37.655968;OpenStreetMap, корпус;w361018891
osm-502-tsentr-obrazovaniya-628;Центр образования № 628;нет;Другая;;Центр образования № 628;55.667847;37.608885;OpenStreetMap, корпус;w363405576
osm-503-shkola-635;Школа №635;нет;Другая;;Школа №635;55.757169;37.792579;OpenStreetMap, корпус;r5713482
osm-504-shkola-881;Школа №881;нет;Другая;;Школа №881;55.602049;37.583949;OpenStreetMap, корпус;w367879924
osm-505-valdorfskaya-semeynaya-initsia;Вальдорфская семейная инициатива «Школа под солнцем»;нет;Другая;;Вальдорфская семейная инициатива «Школа под солнцем»;55.628665;37.453521;OpenStreetMap, корпус;w371930812
osm-506-shkola-1076;Школа №1076;нет;Другая;;Школа №1076;55.813194;37.818255;OpenStreetMap, корпус;w374629533
osm-507-shkola-1097;Школа №1097;нет;Другая;;Школа №1097;55.866003;37.657463;OpenStreetMap, корпус;r5699016
osm-508-shkola-461;Школа № 461;нет;Другая;;Школа № 461;55.702640;37.769203;OpenStreetMap, корпус;w385816697
osm-509-shkola-760-im;Школа №760 им;нет;Другая;;Школа №760 им. А. П. Маресьева. Школьное отделение;55.877678;37.714967;OpenStreetMap, корпус;w394363818
osm-509-shkola-760-im;Школа №760 им;нет;Другая;;Школа №760 им. А. П. Маресьева. Школьное отделение;55.877357;37.711323;OpenStreetMap, корпус;w394589999
osm-509-shkola-760-im;Школа №760 им;нет;Другая;;Школа №760 им. А. П. Маресьева. Школьное отделение;55.881102;37.720302;OpenStreetMap, корпус;r11356961
osm-510-shkola-samoopredeleniya-734-im;Школа самоопределения № 734 имени А. Н. Тубельского (корпус №1);нет;Другая;;Школа самоопределения № 734 имени А. Н. Тубельского (корпус №1);55.801313;37.823903;OpenStreetMap, корпус;w396444375
osm-511-horoshevskaya-progimnaziya;Хорошёвская прогимназия;нет;Другая;;Хорошёвская прогимназия;55.783776;37.465853;OpenStreetMap, корпус;w399065542
osm-512-shkola-1190;Школа №1190;нет;Другая;;Школа № 1190;55.847285;37.369282;OpenStreetMap, корпус;w399226854
osm-512-shkola-1190;Школа №1190;нет;Другая;;Школа №1190;55.847324;37.364753;OpenStreetMap, корпус;r9288165
osm-513-finansovo-ekonomicheskaya-shko;Финансово-экономическая школа;нет;Другая;;Финансово-экономическая школа;55.824253;37.582113;OpenStreetMap, корпус;w400616531
osm-514-shkola-932;Школа №932;нет;Другая;;Школа №932;55.599751;37.585666;OpenStreetMap, корпус;w404896629
osm-515-shkola-409;Школа №409;нет;Другая;;Школа №409;55.746084;37.819034;OpenStreetMap, корпус;w405119704
osm-516-shkola-741;Школа №741;нет;Другая;;Школа №741;55.795403;37.801707;OpenStreetMap, корпус;w425202129
osm-517-nachalnaya-shkola-1826;Начальная школа №1826;нет;Другая;;Начальная школа №1826;55.866688;37.567525;OpenStreetMap, корпус;r6322610
osm-518-shkola-511;Школа №511;нет;Другая;;Школа №511;55.645895;37.663290;OpenStreetMap, корпус;w436009599
osm-519-shkola-1133;Школа № 1133;нет;Другая;;Школа № 1133. Школа развития;55.751649;37.417898;OpenStreetMap, корпус;r6528322
osm-519-shkola-1133;Школа № 1133;нет;Другая;;Школа № 1133. Школа успеха;55.750606;37.418900;OpenStreetMap, корпус;r6528321
osm-520-shkola-32;Школа № 32;нет;Другая;;Школа № 32, корпус 1;55.915462;37.716423;OpenStreetMap, корпус;w442785966
osm-520-shkola-32;Школа № 32;нет;Другая;;Школа № 32, корпус 2;55.917009;37.718630;OpenStreetMap, корпус;w862867459
osm-521-shkola-32-lider;"Школа №32 ""Лидер""";нет;Другая;;"Школа №32 ""Лидер""";55.915570;37.418487;OpenStreetMap, корпус;w1097531807
osm-522-shkola-32;Школа №32;нет;Другая;;Школа №32;55.786676;37.847568;OpenStreetMap, корпус;r15009909
osm-523-shkola-33;Школа №33;нет;Другая;;Школа №33;55.804325;37.845098;OpenStreetMap, корпус;w447976276
osm-524-shkola-717;Школа №717;нет;Другая;;Школа №717;55.817380;37.504959;OpenStreetMap, корпус;w450366849
osm-525-shkola-1323;Школа № 1323;нет;Другая;;Школа № 1323;55.743071;37.625791;OpenStreetMap, корпус;r6696799
osm-526-shkola-28;Школа №28;нет;Другая;;Школа №28;55.907233;37.457799;OpenStreetMap, корпус;w453976883
osm-527-shkola-849;Школа №849;нет;Другая;;Школа №849;55.875355;37.539696;OpenStreetMap, корпус;r6751350
osm-528-spetsshkola-30;Спецшкола №30;нет;Другая;;Спецшкола №30;55.737091;37.571436;OpenStreetMap, корпус;r6758021
osm-529-shkola-internat-30-im-k-a-mika;Школа-интернат №30 им. К. А. Микаэльяна;нет;Другая;;Школа-интернат №30 им. К. А. Микаэльяна;55.799587;37.692041;OpenStreetMap, корпус;r11331272
osm-530-shkola-30;Школа № 30;нет;Другая;;Школа № 30;55.953523;37.444105;OpenStreetMap, корпус;r14445238
osm-531-shkola-1716-evrika-ogonek;"Школа №1716 ""Эврика-Огонёк""";нет;Другая;;"Школа №1716 ""Эврика-Огонёк""";55.665483;37.774368;OpenStreetMap, корпус;w459574973
osm-532-tsentr-obrazovaniya-1989;Центр образования №1989;нет;Другая;;Центр образования №1989;55.663706;37.776100;OpenStreetMap, корпус;w459586029
osm-533-shkola-2011;Школа №2011;нет;Другая;;Школа №2011;55.667712;37.788870;OpenStreetMap, корпус;w459837877
osm-534-shkola-1186;Школа №1186;нет;Другая;;Школа №1186;55.671997;37.767353;OpenStreetMap, корпус;w460010094
osm-535-shkola-572;Школа №572;нет;Другая;;Школа №572;55.680141;37.769958;OpenStreetMap, корпус;w460240932
osm-535-shkola-572;Школа №572;нет;Другая;;Школа № 572, Отделение № 9;55.677505;37.771035;OpenStreetMap, корпус;w476412270
osm-536-shkola-1904;Школа №1904;нет;Другая;;Школа №1904;55.649666;37.747524;OpenStreetMap, корпус;w461109423
osm-537-shkola-1159;Школа № 1159;нет;Другая;;Школа № 1159 (ДО);55.862666;37.515973;OpenStreetMap, корпус;w468860751
osm-537-shkola-1159;Школа № 1159;нет;Другая;;ГБОУ г. Москвы Школа № 1159;55.862505;37.510041;OpenStreetMap, корпус;w558785509
osm-537-shkola-1159;Школа № 1159;нет;Другая;;Школа № 1159;55.859449;37.522389;OpenStreetMap, корпус;r18657239
osm-538-shkola-767;Школа №767;нет;Другая;;Школа №767;55.821187;37.794818;OpenStreetMap, корпус;r7013096
osm-539-shkola-37;Школа №37;нет;Другая;;Школа №37. Корпус школьного образования;55.702703;37.502434;OpenStreetMap, корпус;w479152965
osm-539-shkola-37;Школа №37;нет;Другая;;Школа №37. Корпус школьного образования;55.696486;37.490743;OpenStreetMap, корпус;r12980864
osm-540-shkola-63;Школа № 63;нет;Другая;;Школа № 63;55.756115;37.412393;OpenStreetMap, корпус;r7117134
osm-541-shkola-393;Школа №393;нет;Другая;;Школа №393;55.677524;37.761001;OpenStreetMap, корпус;w490122227
