rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note;lat;lon;geo_precision;geo_source
16;Классический пансион МГУ;Классический пансион МГУ имени М.В. Ломоносова;Частная;школа;74;True;;ЗАО;Очаково-Матвеевское;ул. Лобачевского, д. 118, корп. 3;;18;;47;4;;850000-1950000;да;нет;;;круглосуточный пансион, 1–11 кл., подготовка к МГУ;;https://pansionmsu.ru/;;55.69415;37.47161;дом;OpenStreetMap / Nominatim, 21.09.2026
17;Лицей «Воробьёвы горы»;ГБПОУ «Воробьёвы горы», отделение общего образования;Городская;лицей;69;True;II степени;ЮАО;Донской;Донская ул., д. 37;2;15;41;37;;;;;;;;;;https://vg.mskobr.ru/;"Отделение общего образования — Донская, 37; юрлицо зарегистрировано на ул. Косыгина, 17.";55.71882;37.60518;дом;OpenStreetMap / Nominatim, 21.09.2026
18;Школа № 1543;ГБОУ города Москвы «Гимназия № 1543 имени Ю.В. Завельского»;Городская;школа;69;True;II степени;ЗАО;Тропарёво-Никулино;ул. 26 Бакинских Комиссаров, д. 3, корп. 5;2;8;;16;;;;;;;;;;https://gym1543.mskobr.ru/;;;;не найдено;
19;Лицей Финансового университета;Лицей Финансового университета при Правительстве РФ;Вузовская;лицей;68;True;III степени;САО;Аэропорт;Ленинградский пр-т, д. 51, корп. 4;3;7;21;15;;;;;;;;;;https://www.fa.ru/;;55.79476;37.54456;улица;OpenStreetMap / Nominatim, 21.09.2026
20;Школа № 444;ГБОУ города Москвы «Школа № 444»;Городская;школа;62;True;I степени;ВАО;Измайлово;Нижняя Первомайская ул., д. 14;1;41;35;;;;;;;;;;1;https://schv444.mskobr.ru/;;55.79068;37.79648;дом;OpenStreetMap / Nominatim, 21.09.2026
21;Школа № 1518;ГАОУ города Москвы «Школа № 1518»;Городская;школа;61;True;II степени;СВАО;Алексеевский;пр-т Мира, д. 87;2;19;;48;;;;;;;;;3;https://gum1518.mskobr.ru/;;55.80362;37.63511;дом;OpenStreetMap / Nominatim, 21.09.2026
22;Академическая школа № 1534;ГБОУ города Москвы «Академическая школа № 1534»;Городская;школа;60;True;II степени;ЮЗАО;Академический;ул. Кедрова, д. 11;2;32;27;80;;;;;;;;;;https://gym1534uz.mskobr.ru/;;55.68520;37.57427;дом;OpenStreetMap / Nominatim, 21.09.2026
23;Частная школа «Золотое сечение»;;Частная;школа;59;True;;ЦАО;Якиманка;"Ленинский пр-т, д. 13А (5–11 кл.); Комсомольский пр-т, д. 45 (начальная)";;44;;;5;да;1300000-1600000;нет;нет;;;профили физмат / естеств.-науч. / гуманитарный, тьюторство;;https://gold-school.ru/;;55.72199;37.60358;дом;OpenStreetMap / Nominatim, 21.09.2026
24;Школа № 548 «Царицыно»;ГАОУ города Москвы «Школа № 548 «Царицыно»;Городская;школа;58;True;I степени;ЮАО;Орехово-Борисово Южное;ул. Домодедовская, д. 35, корп. 2;1;;7;;;;;;;;;;;https://cou548.mskobr.ru/;;55.60197;37.71725;дом;OpenStreetMap / Nominatim, 21.09.2026
25;Инженерная школа № 1581;ГБОУ города Москвы «Инженерная школа № 1581»;Городская;школа;56;True;III степени;ЦАО;Басманный;Большой Полуярославский пер., д. 7;3;20;30;50;;;;;;;;;;https://lycc1581.mskobr.ru/;;55.75275;37.66264;дом;OpenStreetMap / Nominatim, 21.09.2026
26;Курчатовская школа;ГБОУ города Москвы «Курчатовская школа»;Городская;школа;56;True;I степени;СЗАО;Щукино;ул. Маршала Василевского, д. 7, корп. 1;1;;17;;;;;;;;;;;https://kurchat.mskobr.ru/;"Юридический адрес по ЕГРЮЛ — ул. Маршала Конева, 10; указан главный корпус по городскому реестру.";55.80455;37.47121;дом;OpenStreetMap / Nominatim, 21.09.2026
27;Школа № 1329;ГБОУ города Москвы «Школа № 1329»;Городская;школа;56;True;I степени;ЗАО;Тропарёво-Никулино;Никулинская ул., д. 10;1;;19;;;;;;;;;;7;https://sch1329.mskobr.ru/;;55.66892;37.46466;дом;OpenStreetMap / Nominatim, 21.09.2026
28;Школа № 1501;ГБОУ города Москвы «Школа № 1501»;Городская;школа;56;True;I степени;ЦАО;Тверской;Тихвинский пер., д. 3;1;;18;;;;;;;;;;;https://lycc1501.mskobr.ru/;;55.78774;37.59571;дом;OpenStreetMap / Nominatim, 21.09.2026
29;Школа № 2086;ГБОУ города Москвы «Школа № 2086»;Городская;школа;56;True;II степени;ЮЗАО;Гагаринский;Университетский пр-т, д. 5;2;39;22;95;;;;;;;;;;https://sch2086uz.mskobr.ru/;;55.69579;37.55150;дом;OpenStreetMap / Nominatim, 21.09.2026
30;Ломоносовская школа «ИнТек»;;Частная;школа;55;True;;МО;Красногорск;Новорижское ш., ЖК «Монолит»;;;;;1;да;1935000;нет;да;;;та же сеть, полный день, 1–11 кл.;;https://lomon.ru/;;;;не найдено;
31;Школа № 171;ГБОУ города Москвы «Школа № 171»;Городская;школа;55;True;III степени;ЦАО;Хамовники;2-я Фрунзенская ул., д. 7А;3;27;13;68;;;;;;;;;;https://sch171c.mskobr.ru/;;55.72231;37.57961;дом;OpenStreetMap / Nominatim, 21.09.2026
32;Школа № 2070 им. Г.А. Вартаняна;ГБОУ города Москвы «Школа № 2070 имени Героя Советского Союза Г.А. Вартаняна»;Городская;школа;54;True;I степени;НАО;поселение Сосенское;пос. Сосенское, п. Коммунарка, ул. Липовый Парк, д. 5А;1;;24;;;;;;;;;;;https://sch2070.mskobr.ru/;;55.56753;37.49307;дом;OpenStreetMap / Nominatim, 21.09.2026
33;Школа «Интеллектуал»;ГБОУ города Москвы «Школа «Интеллектуал»;Городская;школа;53;True;III степени;ЗАО;Фили-Давыдково;Кременчугская ул., д. 11, стр. 4;3;13;;31;;;;;;;;;1;https://int.mskobr.ru/;;55.71928;37.46443;дом;OpenStreetMap / Nominatim, 21.09.2026
34;Школа на Юго-Востоке им. В.И. Чуйкова;ГБОУ города Москвы «Школа на Юго-Востоке имени Маршала В.И. Чуйкова»;Городская;школа;53;True;I степени;ЮВАО;Рязанский;Зеленодольская ул., д. 32, корп. 6;1;;28;;;;;;;;;;;https://schuv.mskobr.ru/;;55.71168;37.76698;дом;OpenStreetMap / Nominatim, 21.09.2026
35;Павловская гимназия;;Частная;гимназия;52;True;;МО;Истринский г.о.;д. Веледниково, ул. Живописная, д. 136 (Новая Рига);;;;;6;высокая;2250000;нет;да;;;кампус 10 га, бассейн, филиал балетной школы, полный цикл;;https://pavlovskayagymnasia.ru/;;55.79854;37.11751;населённый пункт;OpenStreetMap / Nominatim, 21.09.2026
36;Школа № 1533 «ЛИТ»;ГБОУ города Москвы «Школа № 1533 «ЛИТ»;Городская;школа;52;True;III степени;ЮЗАО;Гагаринский;Ломоносовский пр-т, д. 16;3;22;37;58;;;;;;;;;1;https://lyc1533.mskobr.ru/;;55.69237;37.54375;дом;OpenStreetMap / Nominatim, 21.09.2026
37;Школа № 218;ГБОУ города Москвы «Школа № 218»;Городская;школа;52;True;II степени;САО;Тимирязевский;ул. Вучетича, д. 6;2;30;;78;;;;;;;;;2;https://sch218.mskobr.ru/;"Юридический адрес — Дмитровское ш., 5А; указано здание старших классов (ул. Вучетича, 6).";55.80866;37.56059;дом;OpenStreetMap / Nominatim, 21.09.2026
38;Академическая гимназия;;Частная;гимназия;51;True;;Москва / МО;—;"кампусы в Москве; Химки, мкр. Новогорск, Олимпийская ул., д. 15";;;43;;9;да;840000-1440000;нет;да;;;полный цикл: сад — 11 класс + колледж, сильная языковая программа;;https://academ-school.ru/;;55.90335;37.35936;дом;OpenStreetMap / Nominatim, 21.09.2026
