rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note;lat;lon;geo_precision;geo_source
89;Школа № 2120;;Городская;школа;34;False;II степени;НАО;Филимонковский;;2;;;;;;;;;;;;;;;55.59299;37.37221;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
90;Школа № 2123 им. Мигеля Эрнандеса;;Городская;школа;34;False;II степени;ЦАО;Пресненский;;2;;;;;;;;;;;;;;;55.75689;37.59493;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
91;Школа № 2127;;Городская;школа;34;False;II степени;ВАО;Новокосино;;2;;;;;;;;;;;;;;;;;не найдено;
92;Школа № 338 им. А.Ф. Авдеева;;Городская;школа;34;False;II степени;НАО;Коммунарка;;2;;;;;;;;;;;;;;;55.54991;37.50821;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
93;Школа № 962;;Городская;школа;34;False;II степени;СВАО;Отрадное;;2;;;;;;;;;;;;;;;55.85533;37.58770;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
94;Школа-интернат № 1;;Городская;школа;34;False;II степени;СВАО;Алексеевский;;2;;;;;;;;;;;;;;;;;не найдено;
95;Школа «Светлые горы»;;Частная;школа;33;False;;МО;Красногорск;г. Красногорск;;;;;16;;;нет;да;;;полный цикл, развозка;;;;55.86762;37.32597;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
96;Экономический лицей РЭУ им. Г.В. Плеханова;Экономический лицей РЭУ имени Г.В. Плеханова;Вузовская;лицей;30;False;;ЦАО;Замоскворечье;Стремянный пер., д. 36;;25;32;64;;;;;;;;;;https://www.rea.ru/;"На сайте РЭУ указан адрес университета; фактические занятия — ул. Зацепа, 41 (официально не подтверждено).";55.72764;37.62801;дом;OpenStreetMap / Nominatim, 21.09.2026
97;Школа «Солнечный ветер»;;Частная;школа;29;False;;Москва;—;Москва;;;;;20;;;нет;нет;;;;;;;55.63195;37.47704;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
98;Школа № 1317;;Городская;школа;28;False;III степени;ЗАО;Тропарёво-Никулино;;3;48;;;;;;;;;;;;;;55.67139;37.47051;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
99;Школа № 192;;Городская;школа;28;False;III степени;ЮЗАО;Гагаринский;;3;50;;;;;;;;;;;;;;55.70670;37.57490;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
100;Школа № 58;;Городская;школа;28;False;III степени;СЗАО;Строгино;;3;49;;;;;;;;;;;;;;55.67842;37.53933;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
101;Школа № 1231 им. В.Д. Поленова;;Городская;школа;27;False;III степени;ЦАО;Арбат;;3;;42;;;;;;;;;;;;;55.74981;37.58904;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
102;Школа № 1574;;Городская;школа;27;False;III степени;ЦАО;Тверской;;3;;40;;;;;;;;;;;;;55.77977;37.59685;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
103;Медицинский Сеченовский Предуниверсарий;Медицинский Сеченовский Предуниверсарий Первого МГМУ им. И.М. Сеченова;Вузовская;школа;25;False;;ЦАО;Хамовники;ул. Большая Пироговская, д. 2, стр. 2;;38;12;93;;;;;;;;;;https://www.sechenov.ru/;"Указан адрес корпуса по сайту вуза; адрес ул. Савельева, 5 встречается только в картах.";55.73490;37.57949;улица (дом не найден);OpenStreetMap / Nominatim, 21.09.2026
104;Школа № 1238;;Городская;школа;25;False;III степени;ЗАО;Ново-Переделкино;;3;;50;;;;;;;;;;;;;55.64530;37.34564;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
105;Марьинская школа № 1566;;Городская;школа;22;False;III степени;ЮВАО;Марьино;;3;;;;;;;;;;;;;;;55.64834;37.75647;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
106;Московская международная школа;;Городская;школа;22;False;III степени;ВАО;Перово;;3;;;;;;;;;;;;;;;55.76265;37.78676;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
107;Пансион воспитанниц Министерства обороны РФ;;Городская;школа;22;False;III степени;САО;Хорошёвский;;3;;;;;;;;;;;;;;;55.77726;37.54521;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
108;Школа «Глория»;;Городская;школа;22;False;III степени;СВАО;Бибирево;;3;;;;;;;;;;;;;;;55.90193;37.59056;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
109;Школа «Интеграл»;;Городская;школа;22;False;III степени;ЗАО;Филёвский Парк;;3;;;;;;;;;;;;;;;55.73896;37.50208;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
110;Школа «Свиблово»;;Городская;школа;22;False;III степени;СВАО;Свиблово;;3;;;;;;;;;;;;;;;55.85380;37.65932;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
111;Школа им. Артёма Боровика;;Городская;школа;22;False;III степени;ЮВАО;Марьино;;3;;;;;;;;;;;;;;;;;не найдено;
112;Школа на проспекте Вернадского;;Городская;школа;22;False;III степени;ЗАО;Тропарёво-Никулино;;3;;;;;;;;;;;;;;;55.65344;37.48357;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
113;Школа № 1018;;Городская;школа;22;False;III степени;ЗАО;Ново-Переделкино;;3;;;;;;;;;;;;;;;55.64143;37.35088;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
114;Школа № 1034 им. В.В. Маркина;;Городская;школа;22;False;III степени;ЮАО;Братеево;;3;;;;;;;;;;;;;;;55.63154;37.75847;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
115;Школа № 109;;Городская;школа;22;False;III степени;ЮЗАО;Тёплый Стан;;3;;;;;;;;;;;;;;;55.64077;37.47537;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
116;Школа № 1150 им. К.К. Рокоссовского;;Городская;школа;22;False;III степени;ЗелАО;Крюково;;3;;;;;;;;;;;;;;;55.97514;37.15349;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
117;Школа № 117;;Городская;школа;22;False;III степени;ЮЗАО;Ломоносовский;;3;;;;;;;;;;;;;;;55.67415;37.52824;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
118;Школа № 1195 им. П.И. Меренкова;;Городская;школа;22;False;III степени;ЗАО;Можайский;;3;;;;;;;;;;;;;;;55.71723;37.41976;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
119;Школа № 1208 им. М.С. Шумилова;;Городская;школа;22;False;III степени;ЮВАО;Кузьминки;;3;;;;;;;;;;;;;;;55.70776;37.77123;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
120;Школа № 1251 им. Шарля де Голля;;Городская;школа;22;False;III степени;САО;Сокол;;3;;;;;;;;;;;;;;;55.79418;37.50684;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
121;Школа № 1273;;Городская;школа;22;False;III степени;ЮЗАО;Коньково;;3;;;;;;;;;;;;;;;55.62738;37.52410;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
122;Школа № 1279 «Эврика»;;Городская;школа;22;False;III степени;ЮЗАО;Зюзино;;3;;;;;;;;;;;;;;;55.66331;37.60348;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
123;Школа № 1287;;Городская;школа;22;False;III степени;САО;Хорошёвский;;3;;;;;;;;;;;;;;;55.79623;37.52057;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
124;Школа № 1288 им. Н.В. Троян;;Городская;школа;22;False;III степени;САО;Хорошёвский;;3;;;;;;;;;;;;;;;55.77761;37.52915;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
125;Школа № 1293;;Городская;школа;22;False;III степени;ЗАО;Кунцево;;3;;;;;;;;;;;;;;;55.74285;37.41061;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
126;Школа № 1347;;Городская;школа;22;False;III степени;ЗАО;Солнцево;;3;;;;;;;;;;;;;;;55.65789;37.40662;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
127;Школа № 1353 им. Д.Ф. Алексеева;;Городская;школа;22;False;III степени;ЗелАО;Матушкино;;3;;;;;;;;;;;;;;;55.99308;37.19301;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
128;Школа № 1354 «Вектор»;;Городская;школа;22;False;III степени;ЮЗАО;Южное Бутово;;3;;;;;;;;;;;;;;;55.54993;37.56306;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
129;Школа № 1358;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;;55.85683;37.34629;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
130;Школа № 1359 им. М.Л. Миля;;Городская;школа;22;False;III степени;ЮВАО;Выхино-Жулебино;;3;;;;;;;;;;;;;;;55.70159;37.84487;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
131;Школа № 1362;;Городская;школа;22;False;III степени;ВАО;Соколиная Гора;;3;;;;;;;;;;;;;;;55.78191;37.73238;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
132;Школа № 1367;;Городская;школа;22;False;III степени;ЮВАО;Рязанский;;3;;;;;;;;;;;;;;;55.71377;37.74112;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
133;Школа № 1371 «Крылатское»;;Городская;школа;22;False;III степени;ЗАО;Крылатское;;3;;;;;;;;;;;;;;;55.76054;37.40418;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
134;Школа № 1391;;Городская;школа;22;False;III степени;ТАО;Бекасово;;3;;;;;;;;;;;;;;;55.53426;37.16423;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
135;Школа № 1400;;Городская;школа;22;False;III степени;ЗАО;Можайский;;3;;;;;;;;;;;;;;;55.72097;37.41140;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
136;Школа № 1411;;Городская;школа;22;False;III степени;СВАО;Отрадное;;3;;;;;;;;;;;;;;;55.86694;37.60075;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
137;Школа № 1420;;Городская;школа;22;False;III степени;ЮВАО;Выхино-Жулебино;;3;;;;;;;;;;;;;;;55.70098;37.81490;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
138;Школа № 1440;;Городская;школа;22;False;III степени;ЗАО;Крылатское;;3;;;;;;;;;;;;;;;55.75752;37.41269;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
139;Школа № 1449 им. М.В. Водопьянова;;Городская;школа;22;False;III степени;СВАО;Лианозово;;3;;;;;;;;;;;;;;;;;не найдено;
140;Школа № 1454 «Тимирязевская»;;Городская;школа;22;False;III степени;САО;Тимирязевский;;3;;;;;;;;;;;;;;;55.81374;37.56870;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
141;Школа № 1505 «Преображенская»;;Городская;школа;22;False;III степени;ВАО;Преображенское;;3;;;;;;;;;;;;;;;55.79697;37.73844;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
142;Школа № 1506;;Городская;школа;22;False;III степени;СВАО;Северное Медведково;;3;;;;;;;;;;;;;;;55.88976;37.65047;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
143;Школа № 1512 им. Алии Молдагуловой;;Городская;школа;22;False;III степени;ВАО;Вешняки;;3;;;;;;;;;;;;;;;55.71841;37.83030;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
144;Школа № 1532;;Городская;школа;22;False;III степени;ЮЗАО;Тёплый Стан;;3;;;;;;;;;;;;;;;55.62192;37.49149;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
145;Школа № 1537 «Информационные технологии»;;Городская;школа;22;False;III степени;СВАО;Ярославский;;3;;;;;;;;;;;;;;;55.87423;37.71922;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
146;Школа № 1541;;Городская;школа;22;False;III степени;ЗАО;Проспект Вернадского;;3;;;;;;;;;;;;;;;55.66720;37.50888;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
147;Школа № 1554;;Городская;школа;22;False;III степени;СВАО;Отрадное;;3;;;;;;;;;;;;;;;55.86455;37.62350;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
148;Школа № 1560 «Лидер»;;Городская;школа;22;False;III степени;СЗАО;Хорошёво-Мнёвники;;3;;;;;;;;;;;;;;;55.77079;37.49256;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
149;Школа № 1561;;Городская;школа;22;False;III степени;ЮЗАО;Ясенево;;3;;;;;;;;;;;;;;;55.59966;37.54239;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
150;Школа № 1564 им. А.П. Белобородова;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;;55.82816;37.34886;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
151;Школа № 1569 «Созвездие»;;Городская;школа;22;False;III степени;ЮАО;Зябликово;;3;;;;;;;;;;;;;;;55.61495;37.73430;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
152;Школа № 1570;;Городская;школа;22;False;III степени;САО;Беговой;;3;;;;;;;;;;;;;;;55.78932;37.57724;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
153;Школа № 1573;;Городская;школа;22;False;III степени;СВАО;Лианозово;;3;;;;;;;;;;;;;;;55.90663;37.55270;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
154;Школа № 1579;;Городская;школа;22;False;III степени;ЮАО;Москворечье-Сабурово;;3;;;;;;;;;;;;;;;55.65060;37.63252;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
155;Школа № 1584;;Городская;школа;22;False;III степени;ЗАО;Кунцево;;3;;;;;;;;;;;;;;;55.74537;37.42891;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
156;Школа № 1591;;Городская;школа;22;False;III степени;ВАО;Новокосино;;3;;;;;;;;;;;;;;;55.74173;37.87253;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
157;Школа № 17;;Городская;школа;22;False;III степени;ЮЗАО;Коньково;;3;;;;;;;;;;;;;;;55.63834;37.52802;объект (отделение школы в OSM);OpenStreetMap / Nominatim, 21.09.2026
158;Школа № 1747 им. Д.М. Румянцева;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;;55.84616;37.35119;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
159;Школа № 1788;;Городская;школа;22;False;III степени;НАО;Внуково;;3;;;;;;;;;;;;;;;55.63928;37.31415;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
160;Школа № 1793 им. А.К. Новикова;;Городская;школа;22;False;III степени;ЮВАО;Выхино-Жулебино;;3;;;;;;;;;;;;;;;55.68954;37.85014;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
161;Школа № 1883 «Бутово»;;Городская;школа;22;False;III степени;ЮЗАО;Южное Бутово;;3;;;;;;;;;;;;;;;55.54971;37.54724;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
162;Школа № 1944;;Городская;школа;22;False;III степени;СЗАО;Митино;;3;;;;;;;;;;;;;;;55.84262;37.34949;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
163;Школа № 1955;;Городская;школа;22;False;III степени;СВАО;Лосиноостровский;;3;;;;;;;;;;;;;;;55.88029;37.69119;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
164;Школа № 2005;;Городская;школа;22;False;III степени;СЗАО;Куркино;;3;;;;;;;;;;;;;;;55.89449;37.39614;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
165;Школа № 2006;;Городская;школа;22;False;III степени;ЮЗАО;Северное Бутово;;3;;;;;;;;;;;;;;;55.56357;37.57588;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
166;Школа № 2009;;Городская;школа;22;False;III степени;ЮЗАО;Южное Бутово;;3;;;;;;;;;;;;;;;55.54084;37.51972;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
167;Школа № 2010 им. М.П. Судакова;;Городская;школа;22;False;III степени;ЮВАО;Люблино;;3;;;;;;;;;;;;;;;55.66730;37.74829;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
168;Школа № 2025;;Городская;школа;22;False;III степени;ЗАО;Очаково-Матвеевское;;3;;;;;;;;;;;;;;;55.67536;37.44815;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
169;Школа № 2031;;Городская;школа;22;False;III степени;ВАО;Косино-Ухтомский;;3;;;;;;;;;;;;;;;55.71354;37.85203;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
170;Школа № 2033;;Городская;школа;22;False;III степени;ВАО;Северное Измайлово;;3;;;;;;;;;;;;;;;55.80792;37.77945;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
171;Школа № 2044 им. А.М. Серебрякова;;Городская;школа;22;False;III степени;СВАО;Северный;;3;;;;;;;;;;;;;;В источнике возможна опечатка в поле района (САО вместо СВАО).;55.93215;37.54088;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
172;Школа № 2045 им. Д.А. Разумовского;;Городская;школа;22;False;III степени;ЗелАО;Крюково;;3;;;;;;;;;;;;;;;55.97301;37.16361;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
173;Школа № 2051;;Городская;школа;22;False;III степени;ЮВАО;Некрасовка;;3;;;;;;;;;;;;;;;55.70139;37.91764;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
174;Школа № 2072;;Городская;школа;22;False;III степени;ВАО;Новогиреево;;3;;;;;;;;;;;;;;;55.74329;37.80353;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
175;Школа № 2087 «Открытие»;;Городская;школа;22;False;III степени;ЮВАО;Марьино;;3;;;;;;;;;;;;;;;;;не найдено;
176;Школа № 2097;;Городская;школа;22;False;III степени;СЗАО;Южное Тушино;;3;;;;;;;;;;;;;;;55.83892;37.40424;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
177;Школа № 2117;;Городская;школа;22;False;III степени;НАО;Щербинка;;3;;;;;;;;;;;;;;;55.51199;37.57023;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
178;Школа № 41 им. Г.А. Тарана;;Городская;школа;22;False;III степени;НАО;Внуково;;3;;;;;;;;;;;;;;;55.62137;37.21453;объект (отделение школы в OSM);OpenStreetMap / Nominatim, 21.09.2026
179;Школа № 625;;Городская;школа;22;False;III степени;ЮЗАО;Академический;;3;;;;;;;;;;;;;;;55.69233;37.59288;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
180;Школа № 627 им. Д.Д. Лелюшенко;;Городская;школа;22;False;III степени;ЦАО;Замоскворечье;;3;;;;;;;;;;;;;;;55.73311;37.63605;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
181;Школа № 641 им. Сергея Есенина;;Городская;школа;22;False;III степени;ЮВАО;Кузьминки;;3;;;;;;;;;;;;;;;55.70606;37.74230;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
182;Школа № 654 им. А.Д. Фридмана;;Городская;школа;22;False;III степени;ЮВАО;Текстильщики;;3;;;;;;;;;;;;;;;55.69569;37.74985;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
183;Школа № 667 им. К.Я. Самсонова;;Городская;школа;22;False;III степени;ЮАО;Бирюлёво Западное;;3;;;;;;;;;;;;;;;55.57751;37.64993;объект (отделение школы в OSM);OpenStreetMap / Nominatim, 21.09.2026
184;Школа № 7;;Городская;школа;22;False;III степени;ЮЗАО;Ломоносовский;;3;;;;;;;;;;;;;;;;;не найдено;
185;Школа № 777 им. Е.В. Михайлова;;Городская;школа;22;False;III степени;ЮВАО;Рязанский;;3;;;;;;;;;;;;;;;55.72545;37.76824;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
186;Школа № 814;;Городская;школа;22;False;III степени;ЗАО;Очаково-Матвеевское;;3;;;;;;;;;;;;;;;55.70537;37.46520;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
187;Школа № 827;;Городская;школа;22;False;III степени;СЗАО;Северное Тушино;;3;;;;;;;;;;;;;;;55.85281;37.41258;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
188;Школа № 853;;Городская;школа;22;False;III степени;ЗелАО;Старое Крюково;;3;;;;;;;;;;;;;;;55.98518;37.19049;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
189;Школа № 947;;Городская;школа;22;False;III степени;ЮАО;Бирюлёво Восточное;;3;;;;;;;;;;;;;;;55.58240;37.67783;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
190;Международная гимназия «Сколково»;;Частная;гимназия;20;False;;ЗАО;Можайский;ул. Зворыкина, д. 4;;28;;73;;;1643000;нет;да;;;международная гимназия ИЦ «Сколково», билингвальность;;https://sk.ru/;;55.69151;37.35156;дом;OpenStreetMap / Nominatim, 21.09.2026
191;Новая школа;;Частная;школа;19;False;;ЗАО;Раменки;Мосфильмовская ул., д. 88, стр. 5;;37;;92;;средняя;1070000-1420000;нет;нет;;;без звонков и формы, тьюторство с 5 кл., ИУП, экспедиции;;https://n.school/;;55.70289;37.49126;дом;OpenStreetMap / Nominatim, 21.09.2026
192;Школа «Столица-КИТ»;;Частная;школа;18;False;;Москва;—;Москва;;;;;30;;;нет;нет;;;;;;;;;не найдено;
193;Школа права и экономики;;Городская;школа;18;False;;;;;;31;;79;;;;;;;;;;;;55.78311;37.08115;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
194;Предуниверситарий МГЛУ;Предуниверситарий МГЛУ;Вузовская;школа;16;False;;ЦАО;Хамовники;ул. Остоженка, д. 36;;34;;88;;;;;;;;;;https://linguanet.ru/;;55.73914;37.59536;дом;OpenStreetMap / Nominatim, 21.09.2026
195;Школа № 1306 — «Школа молодых политиков»;ГАОУ города Москвы «Школа № 1306 — Школа молодых политиков»;Городская;школа;15;False;;ЗАО;Раменки;Мичуринский пр-т, д. 15, корп. 2;;35;;89;;;;;;;;;;https://gymg1306.mskobr.ru/;;55.69821;37.50949;дом;OpenStreetMap / Nominatim, 21.09.2026
196;Вешняковская школа;;Городская;школа;14;False;IV степени;ВАО;Вешняки;;4;;;;;;;;;;;;;;;55.74101;37.83287;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
197;Гимназия города Троицка;;Городская;гимназия;14;False;IV степени;ТАО;Троицк;;4;;;;;;;;;;;;;;;;;не найдено;
198;Гимназия им. Н.В. Пушкова;;Городская;гимназия;14;False;IV степени;ТАО;Троицк;;4;;;;;;;;;;;;;;;;;не найдено;
199;Измайловская школа № 1508;;Городская;школа;14;False;IV степени;ВАО;Измайлово;;4;;;;;;;;;;;;;;;55.79209;37.80263;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
200;Инженерно-техническая школа им. П.Р. Поповича;;Городская;школа;14;False;IV степени;САО;Аэропорт;;4;;;;;;;;;;;;;;;55.80971;37.53148;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
201;Лицей Президентской академии РАНХиГС;Лицей Президентской академии РАНХиГС;Вузовская;лицей;14;False;;ЗАО;Тропарёво-Никулино;пр-т Вернадского, д. 98;;36;;91;;;;;;;;;;https://ranepa-lyceum.ru/;;55.65165;37.47221;дом;OpenStreetMap / Nominatim, 21.09.2026
202;Лицей города Троицка;;Городская;лицей;14;False;IV степени;ТАО;Троицк;;4;;;;;;;;;;;;;;;;;не найдено;
203;Пушкинская школа № 1500;;Городская;школа;14;False;IV степени;ЦАО;Красносельский;;4;;;;;;;;;;;;;;;55.77355;37.64257;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
204;Школа «Технологии обучения»;;Городская;школа;14;False;IV степени;ЗАО;Дорогомилово;;4;;;;;;;;;;;;;;;55.74114;37.55025;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
205;Школа в Некрасовке;;Городская;школа;14;False;IV степени;ЮВАО;Некрасовка;;4;;;;;;;;;;;;;;;55.68802;37.92337;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
206;Школа им. В.В. Маяковского;;Городская;школа;14;False;IV степени;ЮВАО;Южнопортовый;;4;;;;;;;;;;;;;;;55.72944;37.66641;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
207;Школа № 1000;;Городская;школа;14;False;IV степени;ЗАО;Солнцево;;4;;;;;;;;;;;;;;;55.65778;37.39069;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
208;Школа № 1080;;Городская;школа;14;False;IV степени;ВАО;Преображенское;;4;;;;;;;;;;;;;;;55.80951;37.72031;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
209;Школа № 1191;;Городская;школа;14;False;IV степени;СЗАО;Митино;;4;;;;;;;;;;;;;;;55.85692;37.36111;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
210;Школа № 1245;;Городская;школа;14;False;IV степени;ЮАО;Чертаново Южное;;4;;;;;;;;;;;;;;;55.60349;37.60167;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
211;Школа № 1286;;Городская;школа;14;False;IV степени;СЗАО;Северное Тушино;;4;;;;;;;;;;;;;;;55.85711;37.42588;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
212;Школа № 1296;;Городская;школа;14;False;IV степени;САО;Восточное Дегунино;;4;;;;;;;;;;;;;;;55.87738;37.56266;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
213;Школа № 1324;;Городская;школа;14;False;IV степени;ВАО;Новогиреево;;4;;;;;;;;;;;;;;;55.75876;37.82320;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
214;Школа № 1375;;Городская;школа;14;False;IV степени;ЮАО;Нагатино-Садовники;;4;;;;;;;;;;;;;;;55.68140;37.65667;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
215;Школа № 1450 «Олимп»;;Городская;школа;14;False;IV степени;ЮАО;Нагорный;;4;;;;;;;;;;;;;;;55.65784;37.61237;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
216;Школа № 1466 им. Н. Рушевой;;Городская;школа;14;False;IV степени;ЮАО;Царицыно;;4;;;;;;;;;;;;;;;55.62106;37.66329;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
