school;school_id;type;tier;nota_index;okrug;district;buildings;zhk_10;zhk_15;zhk_20;zhk_30;zhk_list_20
Лицей «Вторая школа» им. В.Ф. Овчинникова;litsey-vtoraya-shkola-im-v-f-ovchinnikova;Городская;Отметка;100;ЮЗАО;Гагаринский;1;0;0;0;2;
Пятьдесят седьмая школа;pyatdesyat-sedmaya-shkola;Городская;Отметка;96;ЦАО;Хамовники;3;5;14;21;37;"LUCE (Люче) — 7 мин; Олсуфьевский 10 — 7 мин; Воздвиженка 7/6 — 8 мин; Льва Толстого 14 — 9 мин; ДОМ XXII — 10 мин; Фрунзенский — 11 мин; Никитский 6 — 12 мин; Коллекция Лужники (Luzhniki Collection) — 12 мин; Усачева 22 — 13 мин; Лё Дом (Le Dome) — 13 мин; Обыденский №1 — 13 мин; EDEN — 14 мин; Stella di Mosca — 15 мин; CLOS 17 — 15 мин; Красный Октябрь — 15 мин; Большая Пироговская 51 — 15 мин; Annabel's (1913) — 17 мин; Хамовники 12 — 17 мин; Узоры — 18 мин; Большая Никитская 16 — 19 мин; Vesper Погодинская — 20 мин"
Школа № 179;shkola-179;Городская;Отметка;95;ЦАО;Тверской;1;0;5;10;19;"Кузнецкий Мост 12 — 10 мин; Камергер — 11 мин; Stella di Mosca — 12 мин; Николь (Nicole) — 14 мин; Ильинка 3/8 — 15 мин; Большая Никитская 16 — 17 мин; EDEN — 18 мин; Рождественка 8 — 19 мин; Воздвиженка 7/6 — 19 мин; LUCE (Люче) — 19 мин"
Школа № 1535;shkola-1535;Городская;Отметка;94;ЦАО;Хамовники;2;4;5;9;12;"Vesper Погодинская — 3 мин; Усачева 22 — 5 мин; Большая Пироговская 51 — 7 мин; Саввинская 27 — 9 мин; ДОМ XXII — 12 мин; Коллекция Лужники (Luzhniki Collection) — 16 мин; Хамовники 12 — 18 мин; Олсуфьевский 10 — 19 мин; Узоры — 20 мин"
Школа Центра педагогического мастерства (ЦПМ);shkola-tsentra-pedagogicheskogo-masterstva-tspm;Частная;Отметка;93;ЦАО;Мещанский;2;1;5;9;18;"Chkalov — 8 мин; Тессинский V — 10 мин; MOD — 13 мин; Костомаровский, 15 — 13 мин; Берниковская набережная 12 — 14 мин; Дом Франка — 18 мин; Mariinn Park — 20 мин; Октябрьская 98 (Mirror) — 20 мин; Фон Дессин (Fon Dessin) — 20 мин"
Школа № 2007 ФМШ;shkola-2007-fmsh;Городская;Отметка;93;ЮЗАО;Южное Бутово;1;0;0;0;0;
Лицей НИУ ВШЭ;litsey-niu-vshe;Вузовская;Отметка;91;ЦАО;Красносельский;4;4;7;18;30;"Veil (Роден) — 5 мин; Фон Дессин (Fon Dessin) — 8 мин; Chkalov — 9 мин; Рождественка 8 — 10 мин; Форум (Forum) — 13 мин; Тессинский V — 14 мин; Turgenev (Клубный дом Тургенев) — 15 мин; Малая Дмитровка 5/9 — 15 мин; RED7 — 15 мин; Ильинка 3/8 — 15 мин; Кузнецкий Мост 12 — 16 мин; Николь (Nicole) — 16 мин; Берниковская набережная 12 — 16 мин; Фантом (Phantom) — 17 мин; Энигмия — 18 мин; Демидов 26 — 19 мин; Космо 4/22 — 19 мин; Камергер — 20 мин"
Школа «Летово»;shkola-letovo;Частная;Отметка;88;НАО;поселение Сосенское;1;0;0;0;0;
Школа № 1568 им. Пабло Неруды;shkola-1568-im-pablo-nerudy;Городская;Отметка;85;СВАО;Южное Медведково;2;0;0;0;0;
Школа № 1502 «Энергия»;shkola-1502-energiya;Городская;Отметка;83;ВАО;Новогиреево;3;0;0;0;0;
СУНЦ МГУ (школа-интернат им. А.Н. Колмогорова);sunts-mgu-shkola-internat-im-a-n-kolmogorova;Вузовская;Отметка;80;ЗАО;Фили-Давыдково;2;0;0;0;5;
Школа № 1514;shkola-1514;Городская;Отметка;80;ЗАО;Раменки;6;0;3;4;8;"Айс Тауэрс (ICE Towers) — 12 мин; CULT (Клубный дом Культ) — 13 мин; СТОУН Грэйн (STONE Grain) — 13 мин; Обручева 30 — 18 мин"
Бауманская инженерная школа № 1580;baumanskaya-inzhenernaya-shkola-1580;Городская;Отметка;79;ЮЗАО;Зюзино;2;0;0;0;0;
Школа № 444;shkola-444;Городская;Отметка;77;ВАО;Измайлово;3;0;0;0;0;
Лицей «Воробьёвы горы»;litsey-vorobevy-gory;Городская;Отметка;75;ЮАО;Донской;2;0;0;1;4;Шифт (SHIFT) — 20 мин
Лицей Финансового университета;litsey-finansovogo-universiteta;Вузовская;Отметка;75;САО;Аэропорт;1;0;1;2;6;"Мастерс (Masters) — 14 мин; Дом на Часовой (DD:OO:MM) — 16 мин"
Школа № 1543;shkola-1543;Городская;Отметка;75;ЗАО;Тропарёво-Никулино;2;0;1;1;1;СИТИМИКС — 12 мин
Школа на Юго-Востоке им. В.И. Чуйкова;shkola-na-yugo-vostoke-im-v-i-chuykova;Городская;Отметка;66;ЮВАО;Рязанский;3;0;0;0;2;
Курчатовская школа;kurchatovskaya-shkola;Городская;Отметка;65;СЗАО;Щукино;8;4;6;10;19;"Сити Бэй (City Bay) — 3 мин; Квартал Серебряный Бор — 7 мин; Серебряный Бор (квартал) — 7 мин; Интонация — 8 мин; Ракурс — 10 мин; Вереск — 13 мин; МОМЕНТС — 16 мин; Level Стрешнево — 18 мин; INDY Towers — 18 мин; Живописная, 27 — 20 мин"
Университетская гимназия МГУ имени М.В. Ломоносова;universitetskaya-gimnaziya-mgu-imeni-m-v-lomonosova;Вузовская;Отметка;64;ЗАО;Раменки;1;0;0;0;3;
Школа № 548 «Царицыно»;shkola-548-tsaritsyno;Городская;Отметка;64;ЮАО;Орехово-Борисово Южное;4;0;0;0;0;
Школа № 1518;shkola-1518;Городская;Отметка;63;СВАО;Алексеевский;2;1;2;4;4;"Мира — 8 мин; iLove — 13 мин; Лайм — 16 мин; Дом Франка — 18 мин"
Классический пансион МГУ;klassicheskiy-pansion-mgu;Частная;Отметка;62;ЗАО;Очаково-Матвеевское;2;1;5;7;9;"Кутузов Сити — 6 мин; Верейская 41 — 12 мин; Событие — 12 мин; Stories на Мосфильмовской — 13 мин; Среда на Лобачевского — 14 мин; SET — 17 мин; Veer — 17 мин"
Предуниверситарий МИФИ;preduniversitariy-mifi;Вузовская;Отметка;62;ЮАО;Москворечье-Сабурово;1;0;0;0;0;
Ломоносовская школа;lomonosovskaya-shkola;Частная;Отметка;60;ЗАО;Очаково-Матвеевское;3;0;0;4;8;"Кутузов Сити — 16 мин; SET — 17 мин; Veer — 17 мин; Верейская 41 — 20 мин"
Школа «Интеллектуал»;shkola-intellektual;Городская;Отметка;55;ЗАО;Фили-Давыдково;1;0;0;0;4;
Школа № 2070 им. Г.А. Вартаняна;shkola-2070-im-g-a-vartanyana;Городская;Отметка;55;НАО;поселение Сосенское;3;0;0;0;0;
Школа № 1547;shkola-1547;Городская;Отметка;54;ЮВАО;Марьино;2;0;0;0;0;
Школа № 1252 им. Сервантеса;shkola-1252-im-servantesa;Городская;Отметка;53;САО;Сокол;2;0;0;1;6;МОМЕНТС — 19 мин
Школа № 1253;shkola-1253;Городская;Отметка;53;ЦАО;Хамовники;2;2;4;9;18;"Льва Толстого 14 — 3 мин; Хилков — 9 мин; Олсуфьевский 10 — 13 мин; Левшинский 19 (Your MAJESTY) — 15 мин; Фрунзенский — 17 мин; Annabel's (1913) — 17 мин; ДОМ XXII — 18 мин; Обыденский №1 — 19 мин; Земледельческий 15 — 20 мин"
Школа № 1329;shkola-1329;Городская;Отметка;53;ЗАО;Тропарёво-Никулино;2;0;1;1;5;Level Мичуринский — 12 мин
Школа № 2123 им. Мигеля Эрнандеса;shkola-2123-im-migelya-ernandesa;Городская;Отметка;53;ЦАО;Пресненский;1;3;8;12;18;"Большая Никитская 16 — 6 мин; Никитский 6 — 8 мин; Малая Никитская 29-31 — 9 мин; Stella di Mosca — 12 мин; EDEN — 13 мин; Воздвиженка 7/6 — 15 мин; Большой Козихинский 22 — 15 мин; CLOS 17 — 15 мин; Камергер — 16 мин; LUCE (Люче) — 16 мин; Палашёвский 11 — 16 мин; Левенсон (Levenson) — 17 мин"
Школа № 2036;shkola-2036;Городская;Отметка;52;ВАО;Новокосино;2;0;0;0;0;
Школа № 1533 «ЛИТ»;shkola-1533-lit;Городская;Отметка;48;ЮЗАО;Гагаринский;2;0;1;2;3;"CULT (Клубный дом Культ) — 13 мин; Level Академическая — 16 мин"
Школа № 218;shkola-218;Городская;Отметка;48;САО;Тимирязевский;2;0;0;2;7;"DIUS (Диус) — 17 мин; 26 Парквью — 19 мин"
Академическая школа № 1534;akademicheskaya-shkola-1534;Городская;Отметка;47;ЮЗАО;Академический;4;1;2;2;3;"Level Академическая — 5 мин; Новые Академики — 14 мин"
Школа № 1575;shkola-1575;Городская;Отметка;47;САО;Аэропорт;2;2;3;4;7;"Дом на Часовой (DD:OO:MM) — 7 мин; Муза (MUSE) — 9 мин; DIUS (Диус) — 12 мин; СОУЛ (SOUL) — 16 мин"
Частная школа «Золотое сечение»;chastnaya-shkola-zolotoe-sechenie;Частная;Отметка;46;ЦАО;Якиманка;2;3;5;9;23;"Узоры — 4 мин; Земледельческий 15 — 5 мин; Хамовники 12 — 7 мин; Левшинский 19 (Your MAJESTY) — 11 мин; Олсуфьевский 10 — 12 мин; Льва Толстого 14 — 15 мин; Саввинская 27 — 16 мин; Vesper Погодинская — 19 мин; Хилков — 20 мин"
Школа № 1501;shkola-1501;Городская;Отметка;45;ЦАО;Тверской;4;0;0;1;10;Форум (Forum) — 18 мин
Школа № 171;shkola-171;Городская;Отметка;45;ЦАО;Хамовники;2;2;2;4;10;"Фрунзенский — 6 мин; ДОМ XXII — 10 мин; Усачева 22 — 16 мин; Коллекция Лужники (Luzhniki Collection) — 18 мин"
Школа № 2086;shkola-2086;Городская;Отметка;45;ЮЗАО;Гагаринский;2;0;1;1;2;CULT (Клубный дом Культ) — 12 мин
Школа № 2107;shkola-2107;Городская;Отметка;44;ЦАО;Мещанский;5;2;4;7;14;"Форум (Forum) — 6 мин; Городская усадьба в Орлово-Давыдовском — 8 мин; Дом Франка — 14 мин; Фантом (Phantom) — 15 мин; Turgenev (Клубный дом Тургенев) — 17 мин; RED7 — 20 мин; MOD — 20 мин"
Школа № 1409;shkola-1409;Городская;Отметка;43;САО;Хорошёвский;2;0;1;1;8;Прайм Парк (Prime Park) — 11 мин
Школа № 1589;shkola-1589;Городская;Отметка;43;ЗАО;Кунцево;1;0;0;0;4;
Школа № 1504;shkola-1504;Городская;Отметка;42;ВАО;Ивановское;2;0;0;0;0;
Областная гимназия им. Е.М. Примакова;oblastnaya-gimnaziya-im-e-m-primakova;Частная;Отметка;41;МО;Одинцовский г.о.;1;0;0;1;1;Раздоры-2 — 15 мин
Школа № 1517;shkola-1517;Городская;Отметка;40;СЗАО;Щукино;4;0;2;5;6;"Crystal Трилогия — 10 мин; Wellton Spa Residence — 10 мин; Квартал Серебряный Бор — 16 мин; Серебряный Бор (квартал) — 16 мин; MYPRIORITY Мнёвники — 17 мин"
Школа № 1541;shkola-1541;Городская;Отметка;40;ЗАО;Проспект Вернадского;3;0;0;0;2;
Инженерная школа № 1581;inzhenernaya-shkola-1581;Городская;На заметку;39;ЦАО;Басманный;3;2;8;11;19;"Костомаровский, 15 — 2 мин; Демидов 26 — 4 мин; СТОУН Сокольники (STONE Sokolniki) — 11 мин; Chkalov — 12 мин; Интеллигент — 12 мин; RED7 — 13 мин; Veil (Роден) — 14 мин; Тессинский V — 15 мин; Дом 56 — 15 мин; Берниковская набережная 12 — 16 мин; Фантом (Phantom) — 19 мин"
Школа № 1363;shkola-1363;Городская;На заметку;39;ЮВАО;Выхино-Жулебино;7;1;1;1;1;Аквилон BESIDE 2.0 — 4 мин
Школа № 1980;shkola-1980;Городская;На заметку;39;ЮЗАО;Южное Бутово;1;0;0;0;0;
Хорошевская школа (Хорошкола);horoshevskaya-shkola-horoshkola;Частная;На заметку;38;СЗАО;Хорошёво-Мнёвники;1;0;1;2;6;"Wellton Spa Residence — 14 мин; MYPRIORITY Мнёвники — 15 мин"
Школа № 1557 им. П.Л. Капицы;shkola-1557-im-p-l-kapitsy;Городская;На заметку;38;ЗелАО;Савёлки;1;0;0;0;0;
Академическая гимназия;akademicheskaya-gimnaziya;Частная;На заметку;37;Москва / МО;—;1;0;0;0;0;
Павловская гимназия;pavlovskaya-gimnaziya;Частная;На заметку;37;МО;Истринский г.о.;1;0;0;0;1;
Школа «НИКА»;shkola-nika;Частная;На заметку;37;ЮЗАО;Зюзино;2;0;0;1;1;Наметкин Тауэр — 16 мин
Школа № 1558 им. Росалии де Кастро;shkola-1558-im-rosalii-de-kastro;Городская;На заметку;37;СВАО;Бабушкинский;2;0;0;0;0;
Школа № 2083;shkola-2083;Городская;На заметку;37;НАО;Щербинка;1;0;0;0;0;
Школа «Покровский квартал»;shkola-pokrovskiy-kvartal;Городская;На заметку;36;ЦАО;Басманный;7;3;6;9;19;"Veil (Роден) — 5 мин; Chkalov — 6 мин; Фон Дессин (Fon Dessin) — 8 мин; Тессинский V — 11 мин; Берниковская набережная 12 — 11 мин; Костомаровский, 15 — 12 мин; RED7 — 16 мин; Демидов 26 — 18 мин; Turgenev (Клубный дом Тургенев) — 20 мин"
Школа № 192;shkola-192;Городская;На заметку;36;ЮЗАО;Гагаринский;1;0;0;1;2;Шифт (SHIFT) — 20 мин
Школа № 625;shkola-625;Городская;На заметку;36;ЮЗАО;Академический;2;0;0;2;4;"Level Академическая — 18 мин; Five Towers — 19 мин"
Школа «Алгоритм»;shkola-algoritm;Частная;На заметку;35;ЦАО;Красносельский;1;2;4;8;14;"Рождественка 8 — 10 мин; Turgenev (Клубный дом Тургенев) — 10 мин; Фон Дессин (Fon Dessin) — 11 мин; Фантом (Phantom) — 13 мин; Кузнецкий Мост 12 — 15 мин; Veil (Роден) — 15 мин; RED7 — 16 мин; Форум (Forum) — 18 мин"
Школа № 67;shkola-67;Городская;На заметку;35;ЗАО;Дорогомилово;5;6;8;9;15;"Бадаевский — 2 мин; На Кутузовском проспекте, 36 — 2 мин; Виктори Парк Резиденсез (Victory Park Residences) — 4 мин; Поклонная 7 — 4 мин; Vesper Kutuzovsky (ODA Gallery) — 5 мин; Веспер Кутузовский (Vesper Кутузовский) — 9 мин; У Поклонной горы — 10 мин; Д'оро Миле (D'oro Mille) — 10 мин; Барклая 6 — 17 мин"
Школа № 1529 имени А.С. Грибоедова;shkola-1529-imeni-a-s-griboedova;Городская;На заметку;34;ЦАО;Хамовники;4;6;10;13;29;"Обыденский №1 — 2 мин; Лё Дом (Le Dome) — 3 мин; Annabel's (1913) — 5 мин; Хилков — 7 мин; CLOS 17 — 8 мин; Левшинский 19 (Your MAJESTY) — 10 мин; Красный Октябрь — 12 мин; Льва Толстого 14 — 13 мин; Никитский 6 — 14 мин; LUCE (Люче) — 15 мин; Воздвиженка 7/6 — 15 мин; EDEN — 16 мин; Земледельческий 15 — 18 мин"
Шуваловская школа № 1448;shuvalovskaya-shkola-1448;Городская;На заметку;34;ЗАО;Раменки;2;0;1;2;2;"Река (клубный дом) — 14 мин; Кинг энд Санс (King & Sons) — 17 мин"
Школа № 152;shkola-152;Городская;На заметку;33;САО;Аэропорт;3;2;3;6;8;"Дом на Часовой (DD:OO:MM) — 10 мин; Прайм Парк (Prime Park) — 10 мин; Муза (MUSE) — 11 мин; DIUS (Диус) — 16 мин; Мастерс (Masters) — 17 мин; СОУЛ (SOUL) — 18 мин"
Школа № 2098 им. Л.М. Доватора;shkola-2098-im-l-m-dovatora;Городская;На заметку;32;САО;Западное Дегунино;2;0;0;0;0;
Международная школа «Интеграция XXI век»;mezhdunarodnaya-shkola-integratsiya-xxi-vek;Частная;На заметку;31;СЗАО;Щукино;2;0;1;2;5;"Ракурс — 14 мин; Интонация — 18 мин"
Школа № 1474;shkola-1474;Городская;На заметку;31;САО;Ховрино;7;0;0;0;1;
Школа № 2026;shkola-2026;Городская;На заметку;31;ВАО;Косино-Ухтомский;1;0;0;0;0;
Школа № 1317;shkola-1317;Городская;На заметку;30;ЗАО;Тропарёво-Никулино;1;0;0;1;3;Level Мичуринский — 16 мин
Школа № 1357 «На Братиславской»;shkola-1357-na-bratislavskoy;Городская;На заметку;30;ЮВАО;Марьино;7;0;0;0;0;
Школа «Марьина Роща» им. В.Ф. Орлова;shkola-marina-roscha-im-v-f-orlova;Городская;На заметку;29;СВАО;Марьина роща;3;1;3;4;7;"MOD — 6 мин; Mariinn Park — 13 мин; Октябрьская 98 (Mirror) — 14 мин; Дом Франка — 18 мин"
Школа на проспекте Вернадского;shkola-na-prospekte-vernadskogo;Городская;На заметку;29;ЗАО;Тропарёво-Никулино;3;0;1;1;1;СИТИМИКС — 11 мин
Школа № 1194 им. Т.О. Расторгуева;shkola-1194-im-t-o-rastorgueva;Городская;На заметку;29;ЗелАО;Крюково;1;0;0;0;0;
Школа № 1571;shkola-1571;Городская;На заметку;29;СЗАО;Северное Тушино;6;0;0;0;0;
Школа № 962;shkola-962;Городская;На заметку;29;СВАО;Отрадное;5;0;1;3;3;"Алтуфьевское 53 — 15 мин; Достижение — 17 мин; Дом Малевич — 17 мин"
Школа № 1542;shkola-1542;Городская;На заметку;28;ЗАО;Солнцево;3;0;0;0;0;
Школа № 1574;shkola-1574;Городская;На заметку;28;ЦАО;Тверской;3;3;6;7;16;"Энигмия — 3 мин; Малая Дмитровка 5/9 — 6 мин; Левенсон (Levenson) — 9 мин; Палашёвский 11 — 11 мин; Большой Козихинский 22 — 12 мин; Камергер — 14 мин; Тишинский бульвар — 17 мин"
Школа № 1576;shkola-1576;Городская;На заметку;28;САО;Коптево;5;0;0;1;3;Level Войковская — 19 мин
Школа № 2089;shkola-2089;Городская;На заметку;28;ЮВАО;Некрасовка;1;0;0;0;0;
Школа «Новогорск»;shkola-novogorsk;Частная;На заметку;27;МО;Химки;1;0;0;0;0;
Школа № 1002;shkola-1002;Городская;На заметку;27;ЗАО;Солнцево;4;0;0;0;0;
Школа № 1158;shkola-1158;Городская;На заметку;27;ЮАО;Чертаново Северное;4;0;0;0;0;
Школа № 1298 «Профиль Куркино»;shkola-1298-profil-kurkino;Городская;На заметку;27;СЗАО;Куркино;1;0;0;0;0;
Школа № 1950;shkola-1950;Городская;На заметку;27;ЦАО;Пресненский;2;0;4;7;14;"Большой Козихинский 22 — 11 мин; Левенсон (Levenson) — 12 мин; Тишинский бульвар — 14 мин; Палашёвский 11 — 15 мин; Малая Никитская 29-31 — 15 мин; Энигмия — 16 мин; Republic (Репаблик) — 19 мин"
Школа № 2120;shkola-2120;Городская;На заметку;27;НАО;Филимонковский;2;0;0;0;0;
Школа № 58;shkola-58;Городская;На заметку;27;СЗАО;Строгино;1;0;1;1;2;CULT (Клубный дом Культ) — 15 мин
Образовательный центр «Протон»;obrazovatelnyy-tsentr-proton;Городская;На заметку;26;ЗАО;Филёвский Парк;2;1;3;5;10;"Барклая 6 — 7 мин; Ривер Парк Кутузовский (River Park Towers) — 10 мин; Famous — 13 мин; Береговой 2 — 16 мин; Виктори Парк Резиденсез (Victory Park Residences) — 17 мин"
Школа № 1290;shkola-1290;Городская;На заметку;26;ВАО;Измайлово;2;0;0;0;0;
Школа № 1362;shkola-1362;Городская;На заметку;26;ВАО;Соколиная Гора;3;0;0;0;3;
Школа № 1811 «Восточное Измайлово»;shkola-1811-vostochnoe-izmaylovo;Городская;На заметку;26;ВАО;Восточное Измайлово;5;0;0;0;0;
Школа № 2109;shkola-2109;Городская;На заметку;26;НАО;Щербинка;1;0;0;0;0;
Школа № 7;shkola-7;Городская;На заметку;26;ЮЗАО;Ломоносовский;6;1;2;2;3;"Айс Тауэрс (ICE Towers) — 6 мин; CULT (Клубный дом Культ) — 10 мин"
Школа «Классика-М»;shkola-klassika-m;Частная;На заметку;25;МО;Мытищи;2;0;0;0;0;
Школа № 1537 «Информационные технологии»;shkola-1537-informatsionnye-tehnologii;Городская;На заметку;25;СВАО;Ярославский;1;0;0;0;0;
Школа № 2031;shkola-2031;Городская;На заметку;25;ВАО;Косино-Ухтомский;1;0;0;0;0;
Школа № 2048;shkola-2048;Городская;На заметку;25;ЮВАО;Некрасовка;1;1;4;7;11;"Level Причальный — 2 мин; Шелепиха — 12 мин; Sydney Prime — 14 мин; Сидней Сити (Sydney City) — 15 мин; HeadLiner — 18 мин; Ривер Парк Кутузовский (River Park Towers) — 19 мин; Береговой 2 — 20 мин"
Экономический лицей РЭУ им. Г.В. Плеханова;ekonomicheskiy-litsey-reu-im-g-v-plehanova;Вузовская;На заметку;25;ЦАО;Замоскворечье;1;0;2;6;21;"Павелецкая от Гранель (MYPRIORITY Paveletskaya) — 11 мин; THE LOT by Akvilon — 13 мин; Level Павелецкая Сити — 17 мин; Дом А — 17 мин; Монблан — 17 мин; Малая Ордынка 14 — 20 мин"
Школа «Светлые горы»;shkola-svetlye-gory;Частная;;24;МО;Красногорск;1;0;0;0;0;
Школа № 1231 им. В.Д. Поленова;shkola-1231-im-v-d-polenova;Городская;Лучшая в районе;24;ЦАО;Арбат;6;8;16;21;35;"Земледельческий 15 — 3 мин; Узоры — 4 мин; Хилков — 5 мин; CLOS 17 — 5 мин; Хамовники 12 — 7 мин; Обыденский №1 — 7 мин; Левшинский 19 (Your MAJESTY) — 8 мин; Лё Дом (Le Dome) — 8 мин; Никитский 6 — 11 мин; Annabel's (1913) — 11 мин; LUCE (Люче) — 12 мин; Воздвиженка 7/6 — 12 мин; Олсуфьевский 10 — 13 мин; EDEN — 13 мин; Красный Октябрь — 14 мин; Льва Толстого 14 — 15 мин; Саввинская 27 — 16 мин; Большая Никитская 16 — 18 мин; Stella di Mosca — 18 мин; Vesper Погодинская — 20 мин; Малая Никитская 29-31 — 20 мин"
Школа № 1287;shkola-1287;Городская;;24;САО;Хорошёвский;2;1;1;3;7;"Мастерс (Masters) — 3 мин; INDY Towers — 16 мин; Дом на Часовой (DD:OO:MM) — 18 мин"
Школа № 1392 им. Д.В. Рябинкина;shkola-1392-im-d-v-ryabinkina;Городская;Лучшая в районе;24;ТАО;Троицк;1;0;0;0;0;
Школа № 1538;shkola-1538;Городская;Лучшая в районе;24;СЗАО;Митино;3;0;0;0;1;
Школа № 1748 «Вертикаль»;shkola-1748-vertikal;Городская;Лучшая в районе;24;ВАО;Северное Измайлово;6;0;0;0;0;
Школа № 2094;shkola-2094;Городская;Лучшая в районе;24;НАО;Коммунарка;6;0;0;0;0;
Школа № 338 им. А.Ф. Авдеева;shkola-338-im-a-f-avdeeva;Городская;;24;НАО;Коммунарка;1;0;0;0;0;
Школа № 627 им. Д.Д. Лелюшенко;shkola-627-im-d-d-lelyushenko;Городская;;24;ЦАО;Замоскворечье;4;12;17;21;27;"Казачий — 0 мин; THE LOT by Akvilon — 5 мин; Малая Полянка 3 — 6 мин; Малая Ордынка 14 — 6 мин; Павелецкая от Гранель (MYPRIORITY Paveletskaya) — 7 мин; Пыжевский — 8 мин; Большая Татарская 35 — 8 мин; Armani/Casa Moscow Residences — 8 мин; Лаврушинский — 9 мин; Level Павелецкая Сити — 9 мин; Дом А — 9 мин; Большая Ордынка 25 — 10 мин; Монблан — 11 мин; LA BELLE MAISON — 11 мин; Садовническая 69 — 12 мин; Quartier d'Or (Картьер д'Ор) — 12 мин; Хай Лайф (High Life) — 14 мин; Русские Сезоны — 15 мин; Voxhall (Воксхолл) — 15 мин; Эра (Era) — 18 мин; Красный Октябрь — 19 мин"
Школа № 2051;shkola-2051;Городская;;23;ЮВАО;Некрасовка;1;0;0;0;0;
Школа-интернат № 1;shkola-internat-1;Городская;;23;СВАО;Алексеевский;1;1;2;3;4;"Лайм — 6 мин; Мира — 13 мин; iLove — 19 мин"
Марьинская школа № 1566;marinskaya-shkola-1566;Городская;;22;ЮВАО;Марьино;2;0;0;0;0;
Школа № 1251 им. Шарля де Голля;shkola-1251-im-sharlya-de-gollya;Городская;;22;САО;Сокол;3;1;1;3;5;"INDY Towers — 9 мин; Мастерс (Masters) — 16 мин; Дом на Зорге — 19 мин"
Школа № 1449 им. М.В. Водопьянова;shkola-1449-im-m-v-vodopyanova;Городская;Лучшая в районе;22;СВАО;Лианозово;2;0;0;1;1;Акценты — 19 мин
Школа № 2009;shkola-2009;Городская;;22;ЮЗАО;Южное Бутово;1;0;0;0;0;
Школа № 2044 им. А.М. Серебрякова;shkola-2044-im-a-m-serebryakova;Городская;Лучшая в районе;22;СВАО;Северный;3;0;0;1;1;ФизтехСити — 17 мин
Школа № 2045 им. Д.А. Разумовского;shkola-2045-im-d-a-razumovskogo;Городская;;22;ЗелАО;Крюково;1;0;0;0;0;
Школа № 2097;shkola-2097;Городская;Лучшая в районе;22;СЗАО;Южное Тушино;4;0;0;1;4;Сити Бэй (City Bay) — 19 мин
Школа «Солнечный ветер»;shkola-solnechnyy-veter;Частная;;21;Москва;—;1;0;0;0;0;
Школа № 1288 им. Н.В. Троян;shkola-1288-im-n-v-troyan;Городская;;21;САО;Хорошёвский;5;1;2;3;9;"Амбер Сити (AMBER CITY) — 4 мин; Сезар Сити (SEZAR CITY) — 12 мин; Глоракс Премиум Белорусская — 18 мин"
Школа № 1359 им. М.Л. Миля;shkola-1359-im-m-l-milya;Городская;;21;ЮВАО;Выхино-Жулебино;2;0;0;0;0;
Школа № 1440;shkola-1440;Городская;Лучшая в районе;21;ЗАО;Крылатское;1;1;1;1;3;Дом Горизонтов — 5 мин
Школа № 1579;shkola-1579;Городская;;21;ЮАО;Москворечье-Сабурово;2;0;1;1;1;LIFE-Варшавская — 14 мин
Школа № 17;shkola-17;Городская;Лучшая в районе;21;ЮЗАО;Коньково;5;0;0;0;0;
Медицинский Сеченовский Предуниверсарий;meditsinskiy-sechenovskiy-preduniversariy;Вузовская;;20;ЦАО;Хамовники;1;2;6;8;13;"Vesper Погодинская — 6 мин; Саввинская 27 — 8 мин; Хамовники 12 — 11 мин; Олсуфьевский 10 — 11 мин; Большая Пироговская 51 — 12 мин; Узоры — 13 мин; Усачева 22 — 16 мин; Земледельческий 15 — 17 мин"
Школа «Глория»;shkola-gloriya;Городская;Лучшая в районе;20;СВАО;Бибирево;3;0;0;0;1;
Школа «Интеграл»;shkola-integral;Городская;;20;ЗАО;Филёвский Парк;1;1;2;3;5;"Барклая 6 — 7 мин; Famous — 14 мин; Виктори Парк Резиденсез (Victory Park Residences) — 17 мин"
Школа № 117;shkola-117;Городская;;20;ЮЗАО;Ломоносовский;3;0;0;1;6;Айс Тауэрс (ICE Towers) — 20 мин
Школа № 1400;shkola-1400;Городская;Лучшая в районе;20;ЗАО;Можайский;1;0;0;1;3;Родина Парк — 17 мин
Школа № 1506;shkola-1506;Городская;Лучшая в районе;20;СВАО;Северное Медведково;1;0;1;1;1;Полар — 10 мин
Школа № 1553 им. В.И. Вернадского;shkola-1553-im-v-i-vernadskogo;Городская;Лучшая в районе;20;ЮАО;Даниловский;2;1;5;8;12;"Эра (Era) — 4 мин; THE LOT by Akvilon — 10 мин; Хай Лайф (High Life) — 12 мин; Voxhall (Воксхолл) — 14 мин; ПЕЙВ (PAVE) — 15 мин; Level Павелецкая Сити — 19 мин; Дом А — 19 мин; Павелецкая от Гранель (MYPRIORITY Paveletskaya) — 19 мин"
Школа № 1944;shkola-1944;Городская;;20;СЗАО;Митино;2;0;0;0;0;
Школа № 2005;shkola-2005;Городская;;20;СЗАО;Куркино;2;0;0;0;0;
Новая школа;novaya-shkola;Частная;;19;ЗАО;Раменки;1;0;0;1;2;Река (клубный дом) — 19 мин
Первый Московский кадетский корпус;pervyy-moskovskiy-kadetskiy-korpus;Городская;;19;САО;Тимирязевский;1;1;1;1;2;26 Парквью — 10 мин
