school;school_id;type;tier;nota_index;okrug;district;buildings;zhk_10;zhk_15;zhk_20;zhk_30;zhk_list_20
Школа № 1544;shkola-1544;Городская;;6;СЗАО;Митино;1;0;0;0;0;
Школа № 1596;shkola-1596;Городская;;6;ЗАО;Ново-Переделкино;2;0;0;0;0;
Школа № 170 им. А.П. Чехова;shkola-170-im-a-p-chehova;Городская;;6;ЮЗАО;Коньково;3;0;0;2;4;"Обручева 30 — 16 мин; Сикрет Гарден — 18 мин"
Школа № 1798 «Феникс»;shkola-1798-feniks;Городская;;6;ВАО;Новогиреево;2;0;0;0;0;
Школа № 183;shkola-183;Городская;;6;САО;Бескудниковский;1;0;0;1;3;СВЕТ — 19 мин
Школа № 1862;shkola-1862;Городская;;6;ЮАО;Нагорный;5;0;0;0;0;
Школа № 224;shkola-224;Городская;;6;САО;Войковский;3;3;4;4;5;"Инджой (INJOY) — 4 мин; Нарвин — 7 мин; Ленинградка 58 — 9 мин; Кронштадтский 9 — 11 мин"
Школа № 236 им. Г.И. Щедрина;shkola-236-im-g-i-schedrina;Городская;;6;САО;Дмитровский;1;0;0;0;1;
Школа № 281;shkola-281;Городская;;6;СВАО;Бабушкинский;1;0;0;0;0;
Школа № 283;shkola-283;Городская;;6;СВАО;Северное Медведково;3;0;0;0;1;
Школа № 463 им. Д.Н. Медведева;shkola-463-im-d-n-medvedeva;Городская;Лучшая в районе;6;ЮАО;Нагатинский Затон;4;1;1;4;4;"WOW — 8 мин; Ривер Парк — 17 мин; ЗИЛАРТ — 17 мин; Нагатино Ай-Лэнд — 17 мин"
Школа № 491 «Марьино»;shkola-491-marino;Городская;;6;ЮВАО;Марьино;1;0;0;0;0;
Школа № 498;shkola-498;Городская;;6;ЦАО;Таганский;1;0;0;0;0;
Школа № 508;shkola-508;Городская;;6;ЮАО;Бирюлёво Восточное;1;0;0;0;0;
Школа № 630 им. Г.П. Кравченко;shkola-630-im-g-p-kravchenko;Городская;;6;ЮАО;Донской;6;0;3;6;14;"Шифт (SHIFT) — 13 мин; АУРА (Мангазея на Тульской) — 13 мин; Дом 7 Даниловский — 13 мин; Five Towers — 17 мин; Деко Резиденс — 19 мин; Rotterdam — 19 мин"
Школа № 648 им. А.Г. Карлова;shkola-648-im-a-g-karlova;Городская;;6;САО;Ховрино;1;0;0;0;1;
Школа № 763;shkola-763;Городская;;6;СВАО;Лосиноостровский;1;0;0;0;0;
Школа № 851;shkola-851;Городская;;6;ЮАО;Чертаново Северное;2;0;0;0;0;
Школа № 902 «Диалог»;shkola-902-dialog;Городская;;6;ЮАО;Бирюлёво Восточное;3;0;0;0;0;
Школа № 904;shkola-904;Городская;;6;ЮАО;Царицыно;2;0;0;0;0;
Школа № 953;shkola-953;Городская;;6;СВАО;Бибирево;2;0;0;0;0;
Cambridge International School (CIS);cambridge-international-school-cis;Частная;;5;САО;Левобережный;1;3;3;3;7;"Фестиваль парк-2 — 7 мин; L67 — 8 мин; Мангазея на Речном — 10 мин"
Британская международная школа (BIS);britanskaya-mezhdunarodnaya-shkola-bis;Частная;;5;Москва;—;5;1;1;2;5;"Новые Академики — 7 мин; СОУЛ (SOUL) — 19 мин"
Медико-биологическая школа «Вита»;mediko-biologicheskaya-shkola-vita;Городская;;5;;;1;0;0;0;3;
Международная школа Москвы (ISM);mezhdunarodnaya-shkola-moskvy-ism;Частная;;5;ЗАО;Крылатское;2;0;0;0;2;
Школа «Президент»;shkola-prezident;Частная;;5;МО;Одинцовский г.о.;1;0;0;1;3;Жуковка XXI — 19 мин
Школа № 1284;shkola-1284;Городская;;5;;;2;3;7;8;13;"Turgenev (Клубный дом Тургенев) — 4 мин; RED7 — 6 мин; Фантом (Phantom) — 6 мин; Veil (Роден) — 13 мин; Фон Дессин (Fon Dessin) — 14 мин; Форум (Forum) — 14 мин; Рождественка 8 — 15 мин; Демидов 26 — 17 мин"
Школа № 2115;shkola-2115;Городская;;5;ЮЗАО;Черёмушки;3;0;1;2;2;"Новые Академики — 13 мин; Наметкин Тауэр — 18 мин"
Школа № 56 имени академика В. А. Легасова;shkola-56-imeni-akademika-v-a-legasova;Городская;;5;;;2;2;4;4;8;"Vesper Kutuzovsky (ODA Gallery) — 6 мин; Бадаевский — 10 мин; У Поклонной горы — 13 мин; Д'оро Миле (D'oro Mille) — 14 мин"
Heritage School;heritage-school;Частная;;4;ВАО;Сокольники;1;2;3;3;5;"Преображенская площадь — 6 мин; ЭВОПАРК Сокольники (EVOPARK) — 8 мин; Зиккурат Преображенский — 12 мин"
Wunderpark International School;wunderpark-international-school;Частная;;4;МО;Истринский г.о.;2;0;0;0;0;
Европейская гимназия;evropeyskaya-gimnaziya;Частная;;4;ВАО;Сокольники;1;1;2;2;3;"КОД Сокольники — 9 мин; Солос (Solos) — 12 мин"
